firstname,surname,haircolorcode,facialhairtypecode,hairtypecode,cardstrictness,shoecolorcode2,headtypecode,foulstrictness,height,leagueid,shoetypecode,birthdate,sockheightcode,socklengthcode,weight,gender,eyebrowcode,eyecolorcode,jerseysleevelengthcode,headclasscode,sideburnscode,skintypecode,isreal,headvariation,skintonecode,shortstyle,refereeid,nationalitycode,shoedesigncode,shoecolorcode1,hairstylecode,bodytypecode,facialhaircolorcode
Vagiz,Volkov,1,0,22,1,31,2017,1,176,67,130,145487,0,0,64,0,1,3,0,1,0,0,0,0,2,0,102,40,0,30,0,2,0
Loïc,Dacquigny,9,0,16,1,31,4002,1,180,17,130,140357,0,0,74,0,2,5,0,1,0,2,0,0,2,0,103,18,0,30,0,2,3
Alexey,Borochovsky,3,0,107,1,31,4,1,178,67,130,143849,0,0,67,0,1,5,0,1,0,0,0,0,2,0,104,40,0,30,0,1,0
Lauro,Leopardi,1,0,25,1,31,2008,1,171,32,130,143448,0,0,76,0,0,3,0,1,0,0,0,0,2,0,106,27,0,30,0,3,0
Heimo,Wasserschneider,3,4,16,1,0,22,1,175,19,0,144585,0,0,77,0,0,1,0,1,0,2,0,0,2,0,112,21,1,0,0,3,2
Gökberk,Topaloğlu,1,0,16,1,31,1525,1,172,68,130,146185,0,0,61,0,1,3,0,1,0,0,0,0,4,0,117,48,0,30,0,1,0
Scott,McBeanie,2,0,104,1,31,12,1,183,384,130,146600,0,0,75,0,0,1,0,1,0,2,0,0,2,0,122,14,0,30,0,2,1
Ireneusz,Iglikowski,5,0,16,1,31,2006,1,178,66,130,144215,0,0,65,0,0,4,0,1,0,2,0,0,2,0,126,37,0,30,0,1,3
Benoît,Taillade,1,0,75,1,31,1507,1,191,16,224,142284,0,0,78,0,1,5,0,1,0,2,0,0,2,0,127,18,0,30,0,4,0
Gustavo,Apollonio,1,6,29,1,31,2001,1,173,31,130,146855,0,0,72,0,1,3,0,1,0,0,0,0,2,0,128,27,0,30,0,2,0
Hyun-Soon,Han,1,0,16,1,31,517,1,175,83,130,146600,0,0,66,0,2,3,0,1,0,1,0,0,4,0,131,167,0,30,0,1,0
Lasse,Lagerroth,0,0,75,1,31,4000,1,178,56,130,146600,0,0,82,0,0,1,0,1,0,2,0,0,2,0,132,46,0,30,0,3,1
Dong-Kyoo,Choi,1,0,92,1,31,500,1,165,83,224,143941,0,0,68,0,1,3,0,1,0,1,0,0,4,0,136,167,0,30,0,9,0
Pedro,Orteguilla,6,0,114,1,31,2001,1,172,53,130,146600,0,0,70,0,0,1,0,1,0,2,0,0,2,0,138,45,0,30,0,2,2
Özgür,Öztürkmek,1,6,101,1,31,2511,1,182,68,130,147144,0,0,73,0,1,3,0,1,0,1,0,0,5,0,143,48,0,30,0,2,0
Kristoffer,Frohlander,2,0,16,1,31,8,1,182,56,130,146600,0,2,70,0,0,1,0,1,0,2,0,0,2,0,157,46,0,30,0,1,1
Ludvig,Walfridsson,6,4,129,1,31,20,1,180,56,130,146814,0,2,76,0,0,1,0,1,0,0,0,0,2,0,158,46,0,30,0,2,2
Ignacio,Muñiz Villate,1,0,65,1,31,1505,1,179,54,130,146600,0,0,84,0,0,4,0,1,0,2,0,0,2,0,159,45,0,30,0,3,0
Guilherme,Santoso,1,10,37,1,31,2505,1,175,308,130,146600,0,2,70,0,0,3,0,1,0,2,0,0,5,0,168,38,0,30,0,2,0
Njål,Flaten,0,0,92,1,31,18,1,172,41,130,146600,0,0,75,0,0,1,0,1,0,2,0,0,2,0,171,36,0,30,0,3,1
Torjus,Løken,5,0,102,1,31,2,1,185,41,130,146600,0,0,73,0,0,1,0,1,0,2,0,0,2,0,172,36,0,30,0,4,3
Xavier,Aguilar Ramírez,1,0,16,1,31,1501,1,179,341,130,143503,0,2,74,0,0,3,0,1,0,0,0,0,4,0,173,45,0,30,0,2,0
Jasper,de Waart,1,0,129,1,31,2016,1,172,10,130,144814,0,2,70,0,0,5,0,1,0,2,0,0,2,0,176,34,0,30,0,2,0
Steffen,Schwurbel,0,0,40,1,31,8,1,179,20,130,146600,0,2,70,0,1,2,0,1,0,0,0,0,2,0,178,21,0,30,0,1,1
Afonso,Secretario,1,0,21,1,31,2507,1,180,308,130,144877,0,2,70,0,1,3,0,1,0,2,0,0,5,0,181,38,0,30,0,2,0
Dietmar,Schönlebe,5,0,105,1,31,11,1,180,19,130,146600,0,2,78,0,0,4,0,1,0,0,0,0,2,0,182,21,0,30,0,2,3
Fabrice,Madoulet,1,0,1,1,31,4502,1,177,17,130,146600,0,0,85,0,2,3,0,1,0,2,0,0,9,0,183,18,0,30,0,3,0
Jean,Rabault,6,0,37,1,31,2012,1,183,17,130,146600,0,0,71,0,0,4,0,1,0,0,0,0,2,0,184,18,0,30,0,1,3
Flemming,Fredskild,0,0,117,1,31,2016,1,188,1,130,146600,0,0,81,0,0,2,0,1,0,2,0,0,2,0,185,13,0,30,0,5,1
Esben,Schjonberg,3,0,150,1,31,1512,1,172,1,130,146600,0,0,77,0,0,4,0,1,0,2,0,0,2,0,186,13,0,30,0,3,2
Paweł,Grygorski,1,0,84,1,31,2509,1,180,66,130,146587,0,0,74,0,0,1,0,1,0,0,0,0,2,0,188,37,0,30,0,2,0
Rodolfo,Costinha,1,0,2,1,31,2510,1,191,7,130,144851,0,2,80,0,0,3,0,1,0,2,0,0,6,0,190,54,0,30,0,5,0
Wesley,Vangorten,0,0,78,1,31,11,1,168,4,130,144727,0,0,60,0,0,1,0,1,0,0,0,0,2,0,193,34,0,30,0,7,1
Ludger,Falck,5,0,92,1,31,16,1,180,80,130,146600,0,2,78,0,0,6,0,0,0,1,0,0,1,0,195,21,0,30,0,2,3
Graham,Boverick,1,0,104,1,31,2027,1,185,351,130,144978,0,0,80,0,0,3,0,1,0,2,0,0,2,0,200,195,0,30,0,5,0
Pat,Framlow,3,4,74,1,31,3505,1,177,351,130,144763,0,0,73,0,1,3,0,1,0,2,0,0,2,0,201,195,0,30,0,2,0
Josh,Brithwell,2,6,43,1,31,1517,1,178,351,130,142142,0,0,68,0,2,1,0,1,0,2,0,0,2,0,202,195,0,30,0,2,3
Fedder,Gotthard,3,8,39,1,31,4001,1,187,80,130,144078,0,0,81,0,1,8,0,1,0,1,0,0,2,0,203,4,0,30,0,5,2
Lutz,Gersthofer,2,8,65,1,31,2003,1,174,80,130,142288,0,2,75,0,0,1,0,1,0,2,0,0,2,0,204,4,0,30,0,3,1
Heribert,Allmaier,5,5,92,1,31,2025,1,189,80,130,141043,0,1,77,0,2,6,0,1,0,2,0,0,2,0,205,4,0,30,0,4,3
Gijsbert,Declerck,0,0,119,1,31,2026,1,185,4,130,142450,0,0,77,0,0,1,0,1,0,2,0,0,2,0,206,7,0,30,0,5,1
Jochem,Van Vosselen,12,0,102,1,31,25,1,175,4,130,141224,0,0,72,0,2,3,0,1,0,1,0,0,2,0,207,7,0,30,0,3,4
Siem,Decauwer,1,17,13,1,31,529,1,188,4,130,145198,0,0,74,0,1,6,0,1,0,0,0,0,2,0,208,7,0,30,0,4,0
Elias,Monteiro Flavio,1,12,127,1,31,2510,1,180,76,130,143405,0,0,80,0,1,5,0,1,0,2,0,0,5,0,209,83,0,30,0,2,0
Wilson,Guiremes Sans,3,0,29,1,31,2513,1,172,7,130,142129,0,0,79,0,2,3,0,1,0,2,0,0,6,0,210,54,0,30,0,3,2
Márcio,Herrera Lomba,6,5,89,1,31,2017,1,175,7,130,145293,0,0,76,0,0,3,0,1,0,2,0,0,4,0,211,54,0,30,0,2,2
Laurits,Tyllesen,1,6,75,1,31,3501,1,177,1,130,143578,0,1,73,0,0,3,0,1,0,2,0,0,2,0,212,13,0,30,0,2,0
Viggo,Toksvig,3,7,111,1,31,18,1,179,1,130,144041,0,2,78,0,1,3,2,1,0,2,0,0,2,0,213,13,0,30,0,2,2
Klemens,Pilegaard,2,0,25,1,31,25,1,187,1,130,141960,0,0,82,0,2,6,0,1,0,2,0,0,2,0,214,13,0,30,0,5,1
Lukas,Papwick,0,5,122,1,31,23,1,169,351,130,143894,0,0,66,0,0,1,0,1,0,0,0,0,2,0,215,14,0,30,0,7,1
Austen,Bayliffe,9,0,17,1,31,10,1,181,39,130,145021,0,0,77,0,1,6,0,1,0,2,0,0,2,0,217,95,0,30,0,2,1
Gavin,Monksfield,3,0,138,1,31,4001,1,183,65,130,147399,0,0,69,0,0,6,0,1,0,0,0,0,2,0,218,25,0,30,0,1,2
Ian,Lowcroft,1,5,2,1,31,1025,1,185,76,130,143073,0,0,84,0,0,3,0,1,0,2,0,0,9,0,219,14,0,30,0,6,0
Grant,Lindum,6,6,24,1,31,16,1,183,78,130,145037,0,0,79,0,0,6,0,1,0,2,0,0,2,0,220,14,0,30,0,2,3
Ashley,Boroughbridge,0,0,98,1,31,2518,1,182,50,130,146254,0,0,69,0,0,1,0,1,0,2,0,0,2,0,221,42,0,30,0,2,2
Sébastien,Mittré,3,0,115,1,31,2010,1,178,16,130,143061,0,0,74,0,0,4,0,1,0,2,0,0,2,0,223,18,0,30,0,2,2
Jean-Daniel,Lacagne,6,0,65,1,31,1511,1,183,17,130,142555,0,2,71,0,0,4,0,1,0,2,0,0,2,0,224,18,0,30,0,1,3
Baptiste,Alacoque,5,0,105,1,31,2024,1,191,16,130,143665,0,0,84,0,1,6,0,1,0,2,0,0,2,0,225,18,0,30,0,5,3
Philippe,Daboussier,3,3,57,1,31,2019,1,184,17,130,146020,0,0,72,0,0,3,0,1,0,0,0,0,2,0,226,18,0,30,0,1,2
Harald,Fimmler,7,0,42,1,31,2000,1,179,19,130,145614,0,0,77,0,0,6,0,1,0,1,0,0,2,0,227,21,0,30,0,2,4
Jascha,Zurheide,5,0,135,1,31,0,1,182,19,130,144318,0,0,75,0,0,5,0,1,0,0,0,0,2,0,228,21,0,30,0,2,3
Heiner,Schnitti,6,5,117,1,31,2029,1,179,20,130,145384,0,0,78,0,1,1,0,1,0,2,0,0,2,0,229,21,0,30,0,3,3
Ansgar,von Hauenstein,9,3,30,1,31,2022,1,192,20,130,143329,0,2,83,0,2,4,1,1,0,2,0,0,2,0,230,21,0,30,0,4,0
Joep,Druppers,3,4,52,1,31,2025,1,182,10,130,144339,0,0,80,0,1,3,1,1,0,2,0,0,2,0,231,34,0,30,0,3,2
Luuk,Hoebacke,6,0,29,1,31,2515,1,191,10,130,142161,0,0,85,0,1,3,0,1,0,2,0,0,2,0,232,34,0,30,0,5,2
Pim,van Tilburgh,1,0,70,1,31,508,1,179,10,130,143762,0,0,69,0,0,4,1,1,0,2,0,0,5,0,233,34,0,30,0,1,0
Gianluca,Del Tarano,3,0,119,1,31,2025,1,180,31,130,144452,0,0,72,0,1,3,0,1,0,2,0,0,2,0,234,27,0,30,0,1,2
Filippo,Giacoletti,3,0,115,1,31,2513,1,176,31,130,145043,0,0,69,0,1,3,0,1,0,2,0,0,2,0,235,27,0,30,0,1,2
Ernesto,Colombano,1,0,52,1,31,2023,1,186,32,130,144348,0,0,78,0,0,3,0,1,0,2,0,0,2,0,236,27,0,30,0,4,0
Guido,Pantaloncini,1,0,8,1,31,3503,1,182,32,130,144423,0,0,70,0,0,3,0,1,0,2,0,0,4,0,237,27,0,30,0,2,0
Buk-Chol,Choi,1,0,115,1,31,519,1,170,83,130,144100,0,2,72,0,0,3,0,1,0,1,0,0,4,0,238,167,0,30,0,8,0
Yoon-Fang,Lee,1,0,137,1,31,522,1,178,83,130,140217,0,0,71,0,0,3,0,1,0,1,0,0,4,0,239,167,0,30,0,1,0
An-Jol,Park,1,0,121,1,31,510,1,177,83,130,142914,0,0,74,0,0,10,0,0,0,1,0,0,2,0,240,167,0,30,0,2,0
José,del Mirrón,1,6,45,1,31,527,1,181,341,130,144462,0,0,78,0,0,3,0,0,0,2,0,0,3,0,241,83,0,30,0,1,0
Francisco,Caldejos,1,10,57,1,31,2027,1,180,341,130,142493,0,0,84,0,0,7,0,1,0,2,0,0,4,0,242,83,0,30,0,3,0
Ramón,Alcanto,6,0,43,1,31,2008,1,175,341,130,142977,0,0,75,0,2,3,0,1,0,2,0,0,4,0,243,83,0,30,0,2,2
Adrian,Gløersen,6,3,16,1,31,3502,1,185,41,130,144643,0,2,83,0,0,1,4,0,0,2,0,0,2,0,244,36,0,30,0,2,3
Roald,Wikborg,1,0,8,1,31,23,1,178,41,130,143353,0,1,66,0,0,1,0,1,0,2,0,0,2,0,245,36,0,30,0,1,0
Thorvald,Oedegaard,6,4,77,1,31,22,1,185,41,130,143047,0,0,86,0,1,8,0,0,0,2,0,0,1,0,246,36,0,30,0,8,3
Gwidon,Pietrzykowski,3,3,43,1,31,2513,1,187,66,130,141500,0,0,79,0,0,1,0,1,0,2,0,0,2,0,247,37,0,30,0,5,2
Nikodem,Dworaczyk,1,16,16,1,31,23,1,174,66,130,139435,0,1,80,0,1,5,0,1,0,2,0,0,2,0,248,37,0,30,0,3,0
Albin,Kuniak,1,6,105,1,31,529,1,181,66,130,142819,0,0,70,0,0,6,0,1,0,2,0,0,2,0,249,37,0,30,0,2,0
Nazario,Dasmarinas,3,0,29,1,31,2011,1,182,308,130,144894,0,0,74,0,0,4,0,1,0,2,0,0,2,0,250,38,0,30,0,2,2
Afonso,Masarenhas,1,0,61,1,31,2507,1,189,308,130,143199,0,0,83,0,1,3,0,1,0,0,0,0,4,0,251,38,0,30,0,5,0
Arcibaldo,Pombal,1,0,16,1,31,2505,1,179,308,130,144700,0,0,67,0,0,3,0,1,0,2,0,0,4,0,252,38,0,30,0,1,0
Henry,McDillon,6,0,75,1,31,3505,1,178,65,130,141597,0,0,73,0,0,1,0,1,0,2,0,0,2,0,253,25,0,30,0,2,3
Conor,O'Connelly,3,0,37,1,31,2016,1,177,65,130,142583,0,0,72,0,0,3,0,1,0,2,0,0,2,0,254,25,0,30,0,2,0
Sheamus,McArthur,7,0,29,1,31,13,1,180,65,130,142920,0,0,78,0,1,3,0,1,0,2,0,0,2,0,255,25,0,30,0,2,4
Andriy,Markinov,0,7,37,1,31,2025,1,184,67,130,143915,0,0,77,0,1,6,1,1,0,2,0,0,2,0,256,40,0,30,0,2,1
Alexey,Potrepkin,2,0,29,1,31,2005,1,177,67,130,145045,0,0,77,0,0,5,0,1,0,2,0,0,2,0,257,40,0,30,0,3,3
Vladimir,Sorpionov,5,6,112,1,31,19,1,184,67,130,142675,0,0,79,0,2,5,0,1,0,2,0,0,2,0,258,40,0,30,0,2,3
Fuad,Al-Rishani,1,3,124,1,31,2515,1,174,350,130,140895,0,0,62,0,1,3,0,1,0,1,0,0,5,0,259,183,0,30,0,1,0
Abdulmajeed,Al-Reshedi,1,0,113,1,31,2517,1,183,350,130,145871,0,0,78,0,0,3,0,1,0,1,0,0,6,0,260,183,0,30,0,2,0
Mazhar,Al-Amur,3,6,0,1,31,1522,1,172,350,130,143800,0,0,65,0,1,4,0,1,0,1,0,0,5,0,261,183,0,30,0,2,2
Hussain,Al-Shamkali,1,4,77,1,31,1526,1,185,350,130,146388,0,0,76,0,2,3,0,1,0,1,0,0,6,0,262,183,0,30,0,5,0
Shane,McDonnelly,9,0,65,1,31,2017,1,177,50,130,141275,0,0,71,0,0,3,0,1,0,2,0,0,2,0,263,42,0,30,0,2,0
Greg,O'Millend,3,6,148,1,31,0,1,179,50,130,143298,0,0,73,0,0,8,0,1,0,1,0,0,2,0,264,42,0,30,0,2,2
Arthur,MacBea,5,0,101,1,31,20,1,176,50,130,140910,0,0,81,0,1,3,0,1,0,2,0,0,2,0,265,42,0,30,0,3,3
Daniel,Soengas Bello,1,6,150,1,31,0,1,177,53,130,146523,0,0,81,0,1,3,0,1,0,2,0,0,2,0,266,45,0,30,0,3,0
Álvaro,Arias Romera,1,8,118,1,31,7,1,179,53,130,144890,0,0,76,0,1,3,0,1,0,2,0,0,4,0,267,45,0,30,0,2,0
Federico,Ramos Navarro,3,0,150,1,31,2500,1,172,54,130,145689,0,0,70,0,0,4,0,1,0,2,0,0,2,0,268,45,0,30,0,2,2
Rafael,Ruibal Losada,1,6,57,1,31,1501,1,181,54,130,145477,0,0,76,0,0,10,0,1,0,2,0,0,2,0,269,45,0,30,0,1,0
Kasper,Krosby,3,6,83,1,31,12,1,186,56,130,143466,0,0,83,0,0,1,0,1,0,2,0,0,2,0,270,46,0,30,0,5,0
Pontus,Ortendhal,5,4,0,1,31,18,1,184,56,130,142602,0,0,70,0,1,1,0,1,0,2,0,0,2,0,271,46,0,30,0,1,0
Sven,Solomonsson,2,0,75,1,31,2025,1,176,56,130,144151,0,1,68,0,2,1,0,1,0,2,0,0,2,0,272,46,0,30,0,2,1
Laurent,Glaisyer,5,0,115,1,31,2022,1,183,189,130,143367,0,0,76,0,0,1,0,1,0,2,0,0,2,0,273,47,0,30,0,2,3
Dario,Nuessli,1,0,119,1,31,528,1,178,189,130,142778,0,0,71,0,1,3,0,1,0,2,0,0,2,0,274,47,0,30,0,2,0
Eufemio,Lafranchi,3,0,147,1,31,1517,1,186,189,130,144050,0,0,76,0,0,4,0,1,0,2,0,0,2,0,275,47,0,30,0,4,2
Alvaro,Aldgate,3,0,40,1,31,2017,1,177,39,130,145627,0,0,73,0,1,3,0,1,0,2,0,0,2,0,276,95,0,30,0,3,2
Wilson,Mountland,2,0,92,1,31,2014,1,182,39,130,144606,0,0,71,0,2,1,0,1,0,2,0,0,2,0,277,95,0,30,0,1,1
Jefferson,Robertford,1,3,119,1,31,2029,1,175,39,130,141639,0,0,82,0,0,5,0,1,0,2,0,0,2,0,278,95,0,30,0,3,0
Oliver Benito,Ledesma,3,6,149,1,31,1512,1,174,353,130,144751,0,0,71,0,2,1,0,1,0,2,0,0,4,0,279,52,0,30,0,2,0
Gabriel,Santiseban,1,3,114,1,31,1516,1,175,353,130,144752,0,0,75,0,1,3,0,1,0,2,0,0,4,0,280,52,0,30,0,3,0
Jerónimo,Santarelli,6,6,117,1,31,2500,1,183,353,130,144250,0,0,75,0,0,3,0,1,0,0,0,0,4,0,281,52,0,30,0,2,0
Maximiliano,Recobedo,1,0,119,1,31,528,1,178,335,130,144568,0,0,75,0,2,3,0,1,0,0,0,0,4,0,282,55,0,30,0,2,0
Evandro,Orellana,1,0,75,1,31,1501,1,180,335,130,144778,0,0,75,0,0,3,0,1,0,2,0,0,4,0,283,55,0,30,0,2,0
Evaristo,Varela Valiño,1,0,149,1,31,1505,1,176,335,130,145079,0,0,70,0,0,6,0,1,0,0,0,0,4,0,284,55,0,30,0,2,0
Álvaro Martín,Granero,1,0,150,1,31,1528,1,173,336,130,146944,0,0,70,0,1,9,0,1,0,1,0,0,5,0,285,56,0,30,0,2,0
Arsenio,Aristizabal,1,6,46,1,31,3000,1,179,336,130,146712,0,0,75,0,0,3,0,1,0,2,0,0,8,0,286,56,0,30,0,2,0
Norberto,Sincelejo,1,0,117,1,31,2500,1,177,336,130,143450,0,0,73,0,2,3,0,1,0,1,0,0,6,0,287,56,0,30,0,2,0
Matthew,Mzizi,1,0,28,2,31,1020,1,181,76,130,143781,0,0,82,0,0,3,0,1,0,1,0,0,10,0,301,140,0,30,0,2,0
Regis,Graver,1,0,71,1,31,1007,1,185,78,130,143541,0,0,84,0,0,3,0,1,0,1,0,0,10,0,306,148,0,30,0,5,0
Kenji,Sunadori,1,9,64,1,31,510,1,168,349,130,141539,0,0,69,0,0,3,0,1,0,1,0,0,4,0,310,163,0,30,0,8,0
Haruto,Shimaguchi,1,0,16,1,31,518,1,175,349,130,143374,0,0,72,0,0,9,0,1,0,1,0,0,4,0,311,163,0,30,0,2,0
Yasuto,Arakida,1,10,42,1,31,515,1,180,349,130,138641,0,0,75,0,0,3,0,1,0,1,0,0,4,0,312,163,0,30,0,2,0
Hoo-gwo,Xiang,1,0,128,1,0,519,1,167,76,0,144247,0,0,62,0,0,9,1,1,0,1,0,0,4,0,316,155,2,0,0,9,0
Vyacheslav,Bondartchuk,3,4,66,1,31,2030,1,177,76,130,144289,0,0,77,0,1,1,0,1,0,2,0,0,2,0,359,49,0,30,0,2,3
Leonidas,Lambrakis,1,0,52,1,31,2517,1,181,76,130,142340,0,0,77,0,1,3,0,1,0,2,0,0,4,0,360,22,0,30,0,2,0
Martin,Atkinson,9,0,122,1,31,2017,1,183,13,224,141882,0,0,87,0,0,6,0,1,0,2,1,0,2,0,361,14,0,30,0,2,2
Mike,Dean,5,0,26,2,0,2020,1,183,13,0,140850,0,0,82,0,2,6,0,1,0,2,1,0,2,0,363,14,1,0,0,2,2
Roger,East,5,0,0,2,0,2017,2,181,13,0,139733,0,0,79,0,0,4,0,1,0,2,1,0,2,0,365,14,2,0,0,2,3
Kevin,Friend,3,0,29,2,0,2009,1,181,13,0,141981,0,0,83,0,2,6,0,1,0,2,1,0,2,0,367,14,1,0,0,2,2
Mike,Jones,2,0,65,2,31,3500,2,177,13,224,140805,0,0,77,0,2,6,0,1,0,2,1,0,2,0,368,14,0,30,0,1,1
Robert,Madley,9,0,43,2,0,2012,2,188,13,0,147185,0,0,88,0,0,4,0,1,0,2,1,0,2,0,369,14,3,0,0,5,3
Andre,Marriner,9,0,114,1,0,4003,1,185,13,0,141793,0,0,81,0,0,4,0,1,0,2,1,0,4,0,370,14,2,0,0,5,0
Lee,Mason,3,0,0,2,0,2016,1,185,13,0,142094,0,0,80,0,2,6,0,1,0,2,1,0,2,0,371,14,1,0,0,5,2
Jonathan,Moss,5,0,114,2,0,8,1,180,13,0,141718,0,0,81,0,2,3,0,1,0,2,1,0,2,0,372,14,2,0,0,3,3
Michael,Oliver,3,0,65,1,0,2015,1,182,13,0,146957,0,0,72,0,1,1,0,1,0,2,1,0,2,0,373,14,2,0,0,2,2
Craig,Pawson,2,0,77,2,0,15,2,182,13,0,144775,0,0,76,0,2,3,0,1,0,2,1,0,2,0,374,14,2,0,0,2,3
Lee,Probert,1,0,54,1,0,2002,1,180,13,0,142383,0,0,79,0,0,6,0,1,0,2,1,0,2,0,375,14,3,0,0,2,2
Neil,Swarbrick,1,0,117,2,0,25,1,178,13,0,139955,0,0,81,0,0,3,0,1,0,2,1,0,2,0,376,14,1,0,0,2,2
Anthony,Taylor,3,0,0,2,0,2003,2,180,13,0,144642,0,0,76,0,0,1,0,1,0,2,1,0,2,0,377,14,3,0,0,2,3
Graham,Scott,0,0,114,1,0,525,1,188,13,0,140980,0,0,84,0,0,6,0,1,0,2,1,0,2,0,378,14,0,0,0,5,3
Enis,Balbay,1,7,30,1,31,2511,1,177,68,130,143943,0,0,72,0,0,3,0,1,0,2,0,0,4,0,379,48,0,30,0,2,0
Feridun,Doğançay,1,0,142,1,31,1520,1,184,68,130,144535,0,0,77,0,1,3,0,1,0,2,0,0,4,0,380,48,0,30,0,1,0
Bethany,Callanish,2,0,536,1,31,5501,1,168,2136,130,145755,0,0,61,1,5,1,0,1,0,4,0,0,2,0,394,42,0,30,0,7,3
Neea,Jokelainen,0,0,520,1,31,9501,1,173,2136,130,147399,0,0,59,1,5,2,0,1,0,3,0,0,2,0,395,17,0,30,0,1,3
Anna,Poltavkina,6,0,538,1,31,7501,1,172,2136,130,147188,0,0,61,1,5,4,0,1,0,4,0,0,2,0,396,40,0,30,0,2,2
Ingrún,Svansdóttir,5,0,501,1,31,9502,1,165,2136,130,145553,0,0,55,1,4,2,0,1,0,4,0,0,2,0,397,24,0,30,0,8,3
Andy,Davies,3,0,0,1,0,8,1,175,14,0,143569,0,0,75,0,2,3,0,1,0,2,1,0,2,0,400,14,1,0,0,2,3
Andy,Madley,1,0,117,1,0,25,1,190,14,0,146423,0,0,80,0,0,3,0,1,0,0,1,0,2,0,401,14,1,0,0,5,0
Carl,Boyeson,3,0,150,2,31,4,2,188,61,224,141153,0,0,90,0,2,1,0,1,0,2,1,0,2,0,402,14,0,30,0,5,3
Chris,Kavanagh,1,0,117,1,0,2020,1,188,13,0,146955,0,0,85,0,1,3,0,1,0,0,1,0,2,0,403,14,1,0,0,5,0
David,Coote,3,0,65,1,0,3501,2,181,14,0,146103,0,0,78,0,0,3,0,1,0,2,1,0,2,0,404,14,1,0,0,1,2
Darren,Drysdale,3,0,0,1,0,15,1,182,60,0,141841,0,0,77,0,0,3,0,1,0,2,1,0,2,0,406,14,2,0,0,1,2
Dean,Whitestone,1,0,16,1,0,2021,1,178,60,0,143832,0,0,77,0,0,4,0,1,0,2,1,0,2,0,407,14,1,0,0,1,0
Eddie,Ilderton,3,0,105,1,31,2006,1,180,60,224,141502,0,0,76,0,1,6,0,1,0,2,1,0,2,0,408,14,0,30,0,3,3
Geoff,Eltringham,3,0,40,1,0,3500,1,174,14,0,141397,0,0,73,0,1,3,0,1,0,1,1,0,2,0,409,14,3,0,0,3,2
Gavin,Ward,5,0,148,1,31,2016,1,174,61,224,144657,0,0,72,0,0,3,0,1,0,2,1,0,2,0,410,14,0,30,0,1,1
James,Adcock,3,0,148,1,0,2,1,172,14,0,146550,0,0,65,0,0,9,0,1,0,0,1,0,4,0,411,14,1,0,0,2,3
James,Linington,3,0,117,2,31,19,1,188,14,224,144960,0,0,90,0,2,3,0,1,0,2,1,0,2,0,412,14,0,30,0,6,2
Jeremy,Simpson,6,0,114,2,0,24,1,177,14,0,143588,0,0,75,0,0,3,0,1,0,2,1,0,2,0,413,14,1,0,0,1,2
Keith,Stroud,6,0,150,2,0,2016,2,170,14,0,141286,0,0,68,0,2,4,0,1,0,2,1,0,2,0,415,14,2,0,0,7,3
