shortsnumberplacementcode,shortsnumbercolorprimg,teamcolorsecb,shortsrenderingdetailmaptype,jerseyfrontnumberplacementcode,jerseynumbercolorsecr,jerseynumbercolorprimr,jerseynumbercolorprimg,shortsnumbercolorsecb,teamcolorprimg,shortsnumbercolorterb,shortsnumbercolorprimr,numberfonttype,teamcolortertb,jerseynumbercolorterg,shortsnumbercolorprimb,jerseynamefonttype,jerseynamelayouttype,jerseynumbercolorterr,jerseynumbercolorprimb,jerseyshapestyle,jerseybacknameplacementcode,teamcolorprimr,jerseynamecolorg,teamcolorsecg,shortsnumbercolorsecg,teamcolortertr,jerseynumbercolorsecg,renderingmaterialtype,shortsnumbercolorterr,teamcolorsecr,jerseycollargeometrytype,shortsnumbercolorterg,jerseynamecolorr,teamcolorprimb,jerseyrenderingdetailmaptype,shortsnumberfonttype,jerseynumbercolorsecb,jerseynamecolorb,jerseynumbercolorterb,teamcolortertg,shortsnumbercolorsecr,jerseybacknamefontcase,teamkittypetechid,powid,isinheritbasedetailmap,islocked,teamkitid,teamcolorprimpercent,teamcolorsecpercent,year,teamtechid,isembargoed,hasadvertisingkit,dlc,teamcolortertpercent,shortstyle,jerseyfit
1,220,107,0,0,12,220,220,12,151,220,220,23,122,220,220,49,1,220,220,0,1,0,220,104,12,0,12,0,220,0,0,220,220,133,0,89,12,220,220,140,12,0,2,-1,0,0,1766,64,29,0,3,0,1,0,95,0,0
1,220,62,0,0,220,12,12,12,229,220,220,23,54,12,220,49,1,12,12,0,1,229,12,42,12,5,220,0,220,8,0,220,12,229,0,89,220,12,12,36,12,0,0,-1,0,0,1352,73,17,0,4,0,1,0,90,0,0
1,12,230,0,0,12,220,220,220,56,220,12,23,223,12,12,49,1,12,220,0,1,97,220,230,220,223,12,0,220,230,8,220,220,142,0,89,12,220,12,223,220,0,1,-1,0,0,1353,82,15,0,4,0,1,0,89,0,0
1,12,68,0,0,220,12,12,220,185,12,12,23,66,12,12,49,1,12,12,0,1,91,12,185,220,94,220,0,12,91,7,12,12,68,0,89,220,12,12,184,220,0,2,-1,0,0,1767,93,93,0,4,0,1,0,88,0,0
1,220,117,0,0,12,220,220,12,53,12,220,95,109,12,220,18,0,12,220,0,1,38,220,53,12,35,12,0,12,38,0,12,220,117,0,95,12,220,12,49,12,0,0,-1,0,0,1354,98,98,0,5,0,0,0,93,0,0
0,220,172,0,0,220,220,220,220,79,12,220,2,159,12,220,1,0,12,220,0,0,23,220,79,220,19,220,0,12,23,7,12,220,172,0,2,220,220,12,67,220,0,0,514,0,0,5998,95,95,1981,5,0,0,0,100,0,0
1,21,213,0,0,220,15,21,220,207,220,15,16,215,220,55,18,0,220,55,0,1,199,21,207,220,199,220,0,220,199,7,220,15,213,0,16,220,55,220,208,220,0,1,-1,0,0,1355,93,93,0,5,0,0,0,92,0,0
1,220,221,0,0,12,220,220,12,83,12,220,95,34,12,220,18,0,12,220,0,1,242,220,221,12,244,12,0,12,222,0,12,220,33,0,95,12,220,12,85,12,0,2,-1,0,0,1356,89,9,0,5,0,0,0,97,0,0
1,220,69,0,0,12,220,220,12,64,12,220,95,69,12,220,18,0,12,220,0,1,63,220,64,12,62,12,0,12,63,0,12,220,69,0,95,12,220,12,63,12,0,3,-1,0,0,1357,95,95,0,5,1,0,0,96,0,0
1,12,103,0,0,12,220,220,220,50,220,12,95,229,12,12,18,1,12,220,0,1,37,220,50,220,229,12,0,220,37,5,220,220,103,0,16,12,220,12,229,220,0,0,-1,0,0,1358,98,98,0,7,0,1,0,94,0,0
1,21,206,0,0,219,15,21,220,206,220,15,16,137,219,55,18,1,219,55,0,1,206,21,206,220,119,219,0,220,206,0,220,15,206,0,16,219,55,219,126,220,0,1,-1,0,0,1359,96,96,0,7,0,1,0,97,0,0
1,12,86,0,0,220,12,12,220,88,220,12,16,68,220,12,18,1,220,12,0,1,230,12,88,220,222,220,0,220,230,0,220,12,86,0,16,220,12,220,70,220,0,2,-1,0,0,1768,93,93,0,7,0,1,0,97,0,0
1,220,37,0,0,12,220,220,12,24,12,220,95,40,12,220,18,1,12,220,0,1,28,220,24,12,26,12,0,12,28,0,12,220,37,0,95,12,220,12,19,12,0,3,-1,0,0,2769,97,97,0,7,0,1,0,99,0,0
1,130,230,0,0,220,161,130,220,230,53,161,23,225,130,53,49,0,161,53,0,1,230,130,230,220,225,220,0,161,230,0,130,161,230,0,89,220,53,53,225,220,0,0,-1,0,0,633,95,95,0,8,0,1,0,96,0,1
1,220,30,0,0,12,220,220,12,30,220,220,23,25,220,220,49,0,220,220,0,1,30,220,30,12,25,12,0,220,30,0,220,220,30,0,89,12,220,220,25,12,0,1,-1,0,0,634,94,94,0,8,0,1,0,96,0,1
1,220,25,0,0,220,4,55,12,213,220,220,23,115,220,220,49,0,220,133,0,1,212,55,213,12,12,220,0,220,212,0,220,4,25,0,89,220,133,220,59,12,0,2,-1,0,0,4385,94,94,0,8,0,1,0,97,0,1
1,220,226,0,0,12,220,220,12,14,12,220,95,23,12,220,18,0,12,220,0,1,137,220,228,12,118,12,0,12,229,7,12,220,28,0,95,12,220,12,12,12,0,0,-1,0,0,1360,87,12,0,9,0,0,0,99,0,0
1,220,81,0,0,220,12,12,12,230,12,220,16,25,220,220,18,0,220,12,0,1,229,12,148,12,25,220,0,12,36,19,12,12,230,0,95,220,12,220,25,12,0,1,-1,0,0,1361,88,5,0,9,0,0,0,99,0,0
1,220,42,0,0,12,220,220,12,141,12,220,95,57,12,220,18,0,12,220,0,1,19,220,90,12,17,12,0,12,4,0,12,220,69,0,95,12,220,12,122,12,0,2,-1,0,0,1769,80,15,0,9,0,0,0,93,0,0
1,12,30,0,0,220,12,12,220,106,220,12,16,18,220,12,18,0,220,12,0,1,254,12,29,220,254,220,0,220,31,19,220,12,22,0,16,220,12,220,86,220,0,3,-1,0,0,1770,85,10,0,9,0,0,0,88,0,0
1,21,232,0,0,220,15,21,220,196,220,15,16,226,220,55,18,1,220,55,0,1,148,21,196,220,225,220,0,220,148,0,220,15,232,0,16,220,55,220,225,220,0,0,-1,0,0,1362,95,95,0,10,0,0,0,92,0,0
0,12,30,0,0,220,220,220,12,30,12,12,1,226,220,12,1,0,220,220,0,0,30,220,30,12,226,220,0,12,30,0,12,220,30,0,1,220,220,220,226,12,0,0,517,0,0,5065,100,100,1884,10,0,0,0,100,0,0
0,220,23,0,0,220,220,220,220,29,220,220,12,25,220,220,1,0,220,220,0,0,30,220,23,220,25,220,0,220,230,0,220,220,29,0,12,220,220,220,25,220,0,0,517,0,0,6640,56,43,1969,10,0,0,0,100,0,0
1,220,4,0,0,12,220,220,12,31,12,220,95,66,12,220,18,1,12,220,0,1,133,220,0,12,107,12,0,12,55,0,12,220,84,0,95,12,220,12,25,12,0,1,-1,0,0,1363,87,8,0,10,0,0,0,94,0,0
1,220,220,0,0,12,220,220,12,125,12,220,95,62,12,220,18,1,12,220,0,1,21,220,221,12,18,12,0,12,220,0,12,220,65,0,95,12,220,12,128,12,0,2,-1,0,0,1771,86,10,0,10,0,0,0,97,0,0
1,220,42,0,0,12,220,220,12,44,12,220,95,43,12,220,18,1,12,220,0,1,37,220,44,12,37,12,0,12,37,0,12,220,42,0,95,12,220,12,44,12,0,3,-1,0,0,4640,95,95,0,10,1,0,0,97,0,0
1,12,229,0,0,12,220,220,220,7,220,12,95,226,12,12,18,1,12,220,0,1,162,220,229,220,226,12,0,220,229,0,220,220,36,0,16,12,220,12,226,220,0,0,-1,0,0,1364,87,9,0,11,0,0,0,96,0,0
1,220,21,0,0,12,220,220,12,20,12,220,95,22,12,220,18,1,12,220,0,1,21,220,20,12,22,12,0,12,21,0,12,220,21,0,95,12,220,12,22,12,0,1,-1,0,0,1365,97,97,0,11,0,0,0,97,0,0
1,220,111,0,0,12,220,220,12,184,12,220,95,95,12,220,18,1,12,220,0,1,72,220,184,12,61,12,0,12,72,7,12,220,111,0,95,12,220,12,175,12,0,2,-1,0,0,1366,94,94,0,11,0,0,0,92,0,0
1,12,122,0,0,220,12,12,220,187,220,12,16,226,220,12,18,1,220,12,0,1,187,12,119,220,226,220,0,220,112,0,220,12,187,0,16,220,12,220,226,220,0,3,-1,0,0,1367,81,17,0,11,0,0,0,98,0,0
1,220,230,0,0,12,220,220,12,20,220,220,23,28,220,220,49,1,220,220,0,1,160,220,230,12,144,12,0,220,230,0,220,220,33,0,89,12,220,220,17,12,0,0,-1,0,0,1368,81,17,0,12,0,0,0,86,0,0
1,55,77,0,0,220,4,55,220,230,82,4,23,225,220,133,49,1,220,133,0,1,230,55,30,220,225,220,0,1,30,0,20,4,230,0,89,220,133,220,225,220,0,1,-1,0,0,1369,81,17,0,12,0,0,0,91,0,0
1,12,64,0,0,220,12,12,220,212,12,12,23,56,12,12,49,1,12,12,0,1,226,12,212,220,223,220,0,12,226,7,12,12,64,0,89,220,12,12,207,220,0,2,-1,0,0,1772,94,94,0,12,0,0,0,97,0,0
1,29,230,0,0,220,227,29,220,29,220,227,16,26,220,47,18,1,220,47,0,1,29,29,230,220,26,220,0,220,230,7,220,227,29,0,16,220,47,220,26,220,0,0,-1,0,0,1370,53,43,0,13,0,1,0,99,0,0
1,220,68,0,0,220,15,21,12,173,12,220,16,66,220,220,18,1,220,55,0,1,109,21,42,12,30,220,0,12,45,12,12,15,221,0,95,220,55,220,43,12,0,1,-1,0,0,1371,93,5,0,13,0,1,0,99,0,0
1,220,31,0,0,12,220,220,12,143,12,220,95,27,12,220,18,1,12,220,0,1,242,220,143,12,241,12,0,12,242,0,12,220,31,0,95,12,220,12,130,12,0,2,-1,0,0,1773,94,94,0,13,0,1,0,81,0,0
1,220,33,0,0,12,220,220,12,33,12,220,95,30,12,220,18,1,12,220,0,1,33,220,33,12,28,12,0,12,33,7,12,220,33,0,95,12,220,12,29,12,0,3,-1,0,0,3334,97,97,0,13,0,1,0,98,0,0
1,0,230,0,0,12,220,220,220,39,5,166,23,225,12,5,49,0,12,220,0,1,196,220,230,220,225,12,0,166,230,7,0,220,59,0,89,12,220,12,225,220,0,0,-1,0,0,635,84,14,0,14,0,1,0,96,0,0
1,220,231,0,0,1,220,220,82,47,220,220,23,55,220,220,49,0,220,220,0,1,38,220,231,20,32,20,0,220,231,7,220,220,66,0,89,82,220,220,40,1,0,1,-1,0,0,636,94,5,0,14,0,1,0,92,0,0
1,220,193,0,0,12,220,220,12,164,220,220,23,185,220,220,49,0,220,220,0,1,21,220,164,12,18,12,0,220,21,7,220,220,193,0,89,12,220,220,152,12,0,2,-1,0,0,3999,94,94,0,14,0,1,0,96,0,0
1,8,135,0,0,220,194,8,220,229,220,194,23,225,220,15,49,1,220,15,0,1,229,8,66,220,225,220,0,220,15,0,220,194,229,0,89,220,15,220,225,220,0,0,-1,0,0,637,55,41,0,15,0,1,0,99,3,0
1,220,57,0,0,12,220,220,12,21,12,220,23,48,12,220,49,1,12,220,0,1,170,220,25,12,14,12,0,12,17,0,12,220,42,0,89,12,220,12,21,12,0,1,-1,0,0,638,55,42,0,15,0,1,0,99,0,0
1,220,93,0,0,12,220,220,12,121,12,220,23,76,12,220,49,1,12,220,0,1,0,220,121,12,0,12,0,12,0,0,12,220,93,0,89,12,220,12,98,12,0,2,-1,0,0,4388,97,97,0,15,0,1,0,99,0,0
1,220,230,0,0,220,12,12,12,32,12,220,16,25,220,220,18,1,220,12,0,1,190,12,230,12,25,220,0,12,230,0,12,12,53,0,95,220,12,220,25,12,0,0,-1,0,0,639,55,39,0,17,0,0,0,99,0,0
1,220,110,0,0,12,220,220,12,30,12,220,95,94,12,220,18,1,12,220,0,1,30,220,94,12,32,12,0,12,37,0,12,220,30,0,95,12,220,12,81,12,0,1,-1,0,0,640,75,23,0,17,0,0,0,87,0,0
1,220,84,0,0,12,220,220,12,157,12,220,95,95,12,220,18,1,12,220,0,1,81,220,107,12,71,12,0,12,52,7,12,220,109,0,95,12,220,12,145,12,0,2,-1,0,0,4676,91,6,0,17,0,0,0,74,0,0
1,220,231,0,0,220,15,21,12,231,12,220,16,67,220,220,18,1,220,55,0,1,231,21,231,12,18,220,0,12,231,0,12,15,231,0,95,220,55,220,34,12,0,0,-1,0,0,1372,94,94,0,18,0,0,0,93,0,0
1,220,85,0,0,12,220,220,12,43,12,220,95,67,12,220,18,1,12,220,0,1,23,220,43,12,18,12,0,12,23,0,12,220,85,0,95,12,220,12,34,12,0,1,-1,0,0,1373,95,95,0,18,0,0,0,93,0,0
1,12,32,0,0,220,12,12,220,202,220,12,16,34,220,12,18,1,220,12,0,1,239,12,31,220,237,220,0,220,33,0,220,12,41,0,16,220,12,220,195,220,0,2,-1,0,0,1774,85,11,0,18,0,0,0,92,0,0
1,220,71,0,0,12,220,220,12,33,12,220,95,69,12,220,18,1,12,220,0,1,45,220,33,12,44,12,0,12,45,0,12,220,71,0,95,12,220,12,32,12,0,3,-1,0,0,3214,94,94,0,18,1,0,0,98,0,0
1,12,234,0,0,12,220,220,220,41,220,12,95,226,12,12,18,1,12,220,0,1,125,220,208,220,226,12,0,220,139,0,220,220,58,0,16,12,220,12,226,220,0,0,-1,0,0,1374,74,22,0,19,0,1,0,99,0,0
1,220,25,0,0,12,220,220,12,24,12,220,95,21,12,220,18,1,12,220,0,1,25,220,24,12,21,12,0,12,25,0,12,220,25,0,95,12,220,12,21,12,0,1,-1,0,0,1375,97,97,0,19,0,1,0,99,0,0
1,12,32,0,0,220,12,12,220,223,220,12,16,21,220,12,18,1,220,12,0,1,213,12,223,220,223,220,0,220,213,0,220,12,32,0,16,220,12,220,220,220,0,2,-1,0,0,1775,93,93,0,19,0,1,0,98,0,0
1,12,186,0,0,220,12,12,220,177,220,12,16,226,220,12,18,1,220,12,0,1,154,12,134,220,226,220,0,220,100,18,220,12,211,0,16,220,12,220,226,220,0,3,-1,0,0,5759,92,5,0,19,0,1,0,94,0,0
1,255,230,0,0,225,220,220,255,53,255,255,20,39,111,255,50,0,0,220,0,1,184,220,230,255,196,24,0,255,230,0,255,220,48,0,20,55,220,186,42,255,0,0,-1,0,0,1376,84,14,0,21,0,0,0,86,0,0
0,220,230,0,0,255,12,12,255,24,20,220,10,20,255,220,1,0,255,12,0,0,181,12,230,255,169,255,0,20,230,0,20,12,24,0,10,255,12,255,20,255,0,0,515,0,0,5126,56,43,1972,21,0,0,0,93,3,0
1,255,48,0,0,225,220,220,255,35,255,255,20,47,111,255,50,0,0,220,0,1,28,220,53,255,24,24,0,255,185,7,255,220,55,0,20,55,220,186,30,255,0,1,-1,0,0,1377,81,15,0,21,0,0,0,86,0,0
1,30,67,0,0,245,30,30,30,201,30,30,20,58,230,30,50,0,21,30,0,1,57,30,201,30,50,12,0,30,57,7,30,30,67,0,20,35,30,205,196,30,0,2,-1,0,0,1378,94,94,0,21,0,0,0,97,0,0
1,42,58,0,0,187,187,42,58,229,58,187,20,224,236,58,50,0,45,58,0,1,229,42,42,42,224,42,0,187,187,0,42,187,229,0,20,58,58,236,224,187,0,3,-1,0,0,1379,88,10,0,21,0,0,0,97,0,0
1,209,20,0,0,250,12,12,12,189,7,250,83,26,57,7,47,0,47,12,0,1,238,12,37,12,26,209,0,250,35,7,209,12,12,0,85,7,12,66,26,12,0,0,-1,0,0,1380,83,6,0,22,0,0,0,94,0,1
1,209,30,0,0,250,250,209,7,30,7,250,83,26,70,7,47,0,59,7,0,1,30,209,30,209,26,209,0,250,30,12,209,250,30,0,85,7,7,77,26,250,0,1,-1,0,0,1381,94,94,0,22,0,0,0,94,0,1
1,12,43,0,0,239,12,12,12,115,12,12,83,37,57,12,47,0,47,12,0,1,253,12,115,12,245,138,0,12,253,0,12,12,43,0,85,44,12,66,99,12,0,2,-1,0,0,1776,92,92,0,22,0,0,0,87,0,1
1,12,93,0,0,105,12,12,12,141,12,12,83,226,57,12,47,0,47,12,0,1,141,12,93,12,226,105,0,12,93,0,12,12,141,0,85,105,12,66,226,12,0,3,-1,0,0,1777,81,9,0,22,0,0,0,78,0,1
1,12,31,0,0,220,12,12,12,230,12,12,112,225,220,12,61,0,220,12,0,1,230,12,30,12,225,220,0,12,30,0,12,12,230,0,112,220,12,220,225,12,0,0,-1,0,0,1382,67,28,0,23,0,0,0,89,0,0
1,220,225,0,0,4,220,220,220,200,220,220,112,20,184,220,61,0,4,220,0,1,40,220,239,220,33,184,0,220,226,0,220,220,25,0,112,80,220,80,193,220,0,1,-1,0,0,1383,89,5,0,23,0,0,0,94,0,0
1,12,22,0,0,187,12,12,12,222,12,12,112,18,237,12,61,0,187,12,0,1,193,12,222,12,181,237,0,12,193,0,12,12,22,0,112,21,12,21,215,12,0,2,-1,0,0,1778,96,96,0,23,0,0,0,99,0,0
1,220,231,0,0,12,220,220,220,30,220,220,112,25,12,220,61,0,12,220,0,1,30,220,231,220,25,12,0,220,231,0,220,220,30,0,112,12,220,12,25,220,0,3,-1,0,0,3681,79,17,0,23,0,0,0,89,0,0
1,220,27,0,0,220,220,220,220,20,220,220,4,25,220,220,12,0,220,220,0,1,177,220,27,220,25,220,0,220,31,7,220,220,27,0,4,220,220,220,25,220,0,0,-1,0,0,641,80,15,0,25,0,0,0,87,0,0
1,12,51,0,0,12,12,12,12,229,12,12,4,226,12,12,12,0,12,12,0,1,229,12,54,12,226,12,0,12,196,11,12,12,229,0,4,12,12,12,226,12,0,1,-1,0,0,4714,81,9,0,25,0,0,0,87,0,0
1,12,23,0,0,12,12,12,12,172,12,12,4,19,12,12,12,0,12,12,0,1,230,12,172,12,226,12,0,12,230,0,12,12,23,0,4,12,12,12,158,12,0,2,-1,0,0,4688,92,92,0,25,0,0,0,86,2,0
1,65,120,0,0,220,151,65,220,49,220,151,4,25,220,207,12,0,220,207,0,1,49,65,124,220,25,220,0,220,122,11,220,151,55,0,4,220,207,220,25,220,0,3,-1,0,0,642,60,22,0,25,0,0,0,87,0,0
0,71,139,0,0,220,220,220,182,65,182,0,2,226,220,182,1,0,220,220,0,1,25,220,65,71,226,220,0,0,25,19,71,220,139,0,2,220,220,220,226,0,0,0,-1,0,0,643,96,96,0,27,0,1,0,100,0,0
0,220,223,0,0,220,220,220,220,27,220,220,2,24,220,220,1,0,220,220,0,1,27,220,223,220,24,220,0,220,223,7,220,220,27,0,2,220,220,220,24,220,0,1,-1,0,0,644,73,14,0,27,0,1,0,100,0,0
0,220,56,0,0,220,220,220,220,110,220,220,2,50,220,220,1,0,220,220,0,1,17,220,110,220,12,220,0,220,17,0,220,220,56,0,2,220,220,220,112,220,0,2,-1,0,0,4750,95,95,0,27,0,0,0,100,0,0
1,220,42,0,0,12,12,12,220,230,220,220,10,36,12,220,10,0,12,12,0,1,230,12,19,220,180,12,0,220,188,7,220,12,230,0,10,12,12,12,16,220,0,0,-1,0,0,1384,81,15,0,28,0,0,0,97,0,0
1,220,145,0,0,220,220,220,220,74,220,220,10,74,220,220,10,0,220,220,0,1,3,220,74,220,6,220,0,220,3,0,220,220,145,0,10,220,220,220,40,220,0,1,-1,0,0,1385,93,93,0,28,0,0,0,97,0,0
1,220,30,0,0,220,220,220,220,30,220,220,10,25,220,220,10,0,220,220,0,1,30,220,30,220,25,220,0,220,30,7,220,220,30,0,10,220,220,220,25,220,0,2,-1,0,0,1779,94,94,0,28,0,0,0,97,0,0
1,220,66,0,0,220,220,220,220,46,220,220,10,48,220,220,10,0,220,220,0,1,230,220,37,220,20,220,0,220,29,0,220,220,108,0,10,220,220,220,26,220,0,3,-1,0,0,3335,66,22,0,28,0,0,0,97,0,0
1,13,229,0,0,220,220,220,41,21,220,163,94,226,13,41,7,0,163,220,0,1,214,220,229,13,226,220,0,220,230,7,220,220,48,0,94,220,220,41,226,163,0,0,-1,0,0,645,82,14,0,29,0,0,0,85,0,0
1,13,48,0,0,170,170,13,41,152,128,170,94,149,128,41,7,0,128,41,0,1,152,13,21,13,149,13,0,128,213,7,128,170,152,0,94,41,41,128,149,170,0,1,-1,0,0,4070,81,14,0,29,0,0,0,96,0,0
1,220,73,0,0,12,12,12,220,220,146,220,94,66,236,220,7,0,184,12,0,1,165,12,60,220,16,12,0,57,19,0,135,12,78,0,94,12,12,95,53,220,0,2,-1,0,0,4354,76,21,0,29,0,0,0,96,0,0
1,40,32,0,0,220,180,40,220,230,220,180,2,226,220,40,1,0,220,40,0,1,230,40,25,220,226,220,0,220,214,7,220,180,230,0,2,220,40,220,226,220,0,0,-1,0,0,647,83,13,0,31,0,0,0,100,0,0
1,220,17,0,0,220,220,220,220,12,220,220,2,10,220,220,1,0,220,220,0,1,238,220,17,220,237,220,0,220,155,7,220,220,12,0,2,220,220,220,10,220,0,1,-1,0,0,648,88,8,0,31,0,0,0,88,0,0
1,220,29,0,0,220,220,220,220,29,220,220,2,24,220,220,1,0,220,220,0,1,29,220,29,220,24,220,0,220,29,0,220,220,29,0,2,220,220,220,24,220,0,2,-1,0,0,3992,97,97,0,31,0,0,0,100,0,0
1,12,44,0,0,235,202,237,12,156,12,12,2,40,250,12,1,0,235,40,0,1,155,237,241,12,202,250,0,12,212,7,12,202,155,0,2,60,40,60,237,12,0,3,-1,0,0,3940,87,9,0,31,0,0,0,100,0,0
1,220,25,0,0,12,220,220,220,25,220,220,109,21,12,220,60,0,12,220,0,1,25,220,25,220,21,12,0,220,25,10,220,220,25,0,109,12,220,12,21,220,0,0,-1,0,0,1386,93,93,0,32,0,0,0,98,0,0
1,220,36,0,0,12,220,220,220,34,220,220,109,33,12,220,60,0,12,220,0,1,233,220,36,220,230,12,0,220,36,0,220,220,37,0,109,12,220,12,30,220,0,1,-1,0,0,1387,87,6,0,32,0,0,0,97,0,0
1,12,0,0,0,220,12,12,12,137,12,12,109,0,220,12,60,0,220,12,0,1,254,12,137,12,254,220,0,12,254,10,12,12,0,0,109,220,12,220,118,12,0,2,-1,0,0,1780,93,93,0,32,0,0,0,98,0,0
1,12,233,0,0,220,12,12,12,233,12,12,109,228,220,12,60,0,220,12,0,1,233,12,233,12,230,220,0,12,233,0,12,12,233,0,109,220,12,220,229,12,0,3,-1,0,0,1781,94,94,0,32,0,0,0,98,0,0
1,52,202,0,0,220,220,220,96,69,96,32,2,230,220,96,9,0,220,220,0,1,33,220,94,52,230,220,0,32,45,7,52,220,167,0,2,220,220,220,230,32,0,0,-1,0,0,1388,88,6,0,34,0,0,0,97,0,0
1,220,184,0,0,1,1,77,220,228,220,220,2,186,77,220,4,0,1,156,0,1,228,77,90,220,2,77,0,220,2,0,220,1,228,0,2,156,156,156,91,220,2,1,-1,0,0,1389,79,12,0,34,0,0,0,97,0,0
1,220,34,0,0,220,220,220,220,25,220,220,2,30,220,220,4,0,220,220,0,1,229,220,25,220,225,220,0,220,229,7,220,220,34,0,2,220,220,220,21,220,2,2,-1,0,0,1390,93,93,0,34,0,0,0,97,0,0
1,220,57,0,0,220,220,220,220,27,220,220,2,57,220,220,4,0,220,220,0,1,27,220,102,220,27,220,0,220,27,0,220,220,27,0,2,220,220,220,103,220,2,3,-1,0,0,1391,76,20,0,34,0,0,0,86,0,0
1,12,29,0,0,12,12,12,12,229,12,12,86,226,220,12,47,0,220,12,0,1,229,12,29,12,226,12,0,12,29,7,12,12,229,0,87,12,12,220,226,12,0,0,-1,0,0,1392,78,11,0,36,0,0,0,88,0,0
1,255,230,0,0,144,255,255,165,26,165,255,86,31,16,255,47,0,144,255,0,1,204,220,230,165,194,16,0,165,230,7,165,220,33,0,87,40,220,40,23,165,0,1,-1,0,0,1393,78,11,0,36,0,0,0,99,0,0
1,12,57,0,0,220,12,12,12,112,12,12,86,50,220,12,47,0,220,12,0,1,254,12,112,12,254,220,0,12,254,0,12,12,57,0,87,220,12,220,99,12,0,2,-1,0,0,1782,94,94,0,36,0,0,0,98,0,0
1,220,33,0,0,33,220,220,220,33,220,220,86,30,30,220,47,0,33,220,0,1,32,220,33,220,28,30,0,220,32,0,220,220,33,0,87,30,220,30,29,220,0,3,-1,0,0,3659,97,97,0,36,0,0,0,99,0,0
1,221,59,0,0,119,119,221,122,84,122,119,1,58,221,122,7,0,119,122,0,1,8,221,84,221,8,221,0,119,8,0,221,119,59,0,1,122,122,122,83,119,0,0,-1,0,0,1394,91,91,0,38,0,0,0,97,0,0
