teamid,playerid,tournamentid,unk1,avg,app,goals,unk2,assists,unk3,yellowcards,redcards,unk6,unk7,cleansheets,unk9,unk10,unk11,unk12,unk13,date1,date2,date3
1795,205976,759,631,75,8,3,0,3,3,1,0,0,5,3,26,1224753245,83,256,0,20220301,20220226,20220212
241,208088,1759,283,69,4,0,0,0,0,0,0,0,2,2,1,1313341440,74,0,0,20210714,20210711,20210707
241,208333,1759,360,71,4,0,0,1,0,1,0,0,2,3,1,1280442368,75,0,0,20210714,20210711,20210707
241,189511,1759,325,68,4,0,0,0,0,1,0,0,2,2,1,1246232576,73,0,0,20210714,20210711,20210707
241,220253,1759,124,67,2,0,0,0,0,0,0,0,0,1,2,1207959552,62,0,0,20210707,20210704,0
241,176580,1759,360,77,4,3,0,1,1,0,0,0,2,3,1,1381761024,78,256,0,20210714,20210711,20210707
241,284058,1759,360,81,4,4,0,1,1,0,0,0,2,3,1,1582235648,90,512,2,20210714,20210711,20210707
241,189509,1759,104,70,3,1,0,0,0,0,0,0,0,0,1,4325376,75,256,0,20210714,20210711,20210704
240,200389,118,90,81,1,0,0,0,0,0,0,0,0,1,1,0,81,0,0,20210810,0,0
111400,183244,1759,270,47,3,0,0,0,0,0,0,0,8,0,3,841940992,45,0,0,20210711,20210707,20210704
111400,213281,1759,270,52,3,0,0,0,0,0,0,0,8,0,3,909443072,51,0,0,20210711,20210707,20210704
111400,283103,1759,251,49,3,0,0,0,0,0,0,0,7,0,3,842137600,49,0,0,20210711,20210707,20210704
111400,185170,1759,270,52,3,0,0,0,0,0,0,0,8,0,3,926089216,50,0,0,20210711,20210707,20210704
111400,183741,1759,270,49,3,0,0,0,0,1,0,0,8,0,3,858914816,47,0,0,20210711,20210707,20210704
111400,183564,1759,253,52,3,0,0,0,0,2,0,0,6,0,3,976289792,51,0,0,20210711,20210707,20210704
111400,203308,1759,231,51,3,0,0,0,0,0,0,0,7,0,3,875626496,52,0,0,20210711,20210707,20210704
111400,284375,1759,270,53,3,1,0,0,0,0,0,0,8,0,3,1009909760,51,256,0,20210711,20210707,20210704
111400,240340,1759,270,52,3,0,0,1,0,0,0,0,8,0,3,841940992,61,0,0,20210711,20210707,20210704
111400,280593,1759,230,51,3,0,0,0,0,0,0,0,6,0,3,875823104,49,0,0,20210711,20210707,20210704
111400,183025,1759,270,57,3,0,0,0,0,1,0,0,8,0,3,943128576,61,0,0,20210711,20210707,20210704
111400,282769,1759,19,59,1,0,0,0,0,0,0,0,1,0,1,0,59,0,0,20210704,0,0
111400,234048,1759,53,61,3,1,0,0,0,0,0,0,3,0,3,976945152,66,1,0,20210711,20210707,20210704
111397,283106,1759,270,57,3,0,0,0,0,0,0,0,5,0,3,926023680,68,0,0,20210711,20210707,20210704
111397,212511,1759,257,61,3,0,0,0,0,0,0,0,4,1,3,909639680,74,0,0,20210711,20210707,20210704
111397,211793,1759,270,57,3,0,0,0,0,0,0,0,5,0,3,875954176,67,0,0,20210711,20210707,20210704
111397,228310,1759,270,64,3,0,0,1,0,0,0,0,5,0,3,943783936,72,0,0,20210711,20210707,20210704
111397,159912,1759,227,61,3,1,0,0,0,0,0,0,4,0,3,909246464,81,1,0,20210711,20210707,20210704
111397,220711,1759,232,58,3,0,0,0,0,1,0,0,4,0,3,825884672,69,0,0,20210711,20210707,20210704
111397,282679,1759,270,60,3,0,0,1,0,0,0,0,5,0,3,926089216,76,0,0,20210711,20210707,20210704
111397,284169,1759,224,59,3,0,0,0,0,0,0,0,3,1,3,875888640,72,0,0,20210711,20210707,20210704
111397,182091,1759,270,65,3,1,0,0,0,0,0,0,5,0,3,1010302976,80,1,0,20210711,20210707,20210704
111397,172208,1759,270,65,3,1,0,0,0,0,0,0,5,0,3,976879616,81,1,0,20210711,20210707,20210704
111397,223083,1759,270,71,3,1,0,2,1,0,0,0,5,0,3,960561152,91,0,1,20210711,20210707,20210704
111397,225434,1759,84,62,3,0,0,0,0,0,0,0,3,0,3,1044250624,62,0,0,20210711,20210707,20210704
605,209053,1759,270,60,3,0,0,0,0,0,0,0,7,0,3,1128726528,43,0,0,20210711,20210707,20210704
605,210498,1759,265,59,3,0,0,0,0,0,0,0,7,0,3,1162084352,41,0,0,20210711,20210707,20210704
605,207716,1759,270,62,3,0,0,0,0,0,0,0,7,0,3,1195835392,46,0,0,20210711,20210707,20210704
605,221658,1759,270,59,3,0,0,0,0,1,0,0,7,0,3,1112014848,41,0,0,20210711,20210707,20210704
605,280450,1759,360,58,4,0,0,0,0,0,0,0,9,0,1,1178730496,45,0,0,20210714,20210711,20210707
605,235746,1759,316,59,4,0,0,0,0,1,0,0,6,0,1,1094975488,50,0,0,20210714,20210711,20210707
605,195087,1759,330,58,4,0,0,0,0,0,0,0,8,0,1,1128726528,44,0,0,20210714,20210711,20210707
605,210926,1759,295,54,4,0,0,0,0,1,0,0,8,0,1,1111031808,41,0,0,20210714,20210711,20210707
605,192110,1759,297,60,4,1,0,0,0,0,0,0,8,0,1,1162543104,40,0,0,20210714,20210711,20210707
605,209723,1759,270,75,3,2,0,1,1,0,0,0,7,0,3,1481441280,61,512,0,20210711,20210707,20210704
605,209001,1759,231,69,3,1,0,0,1,0,0,0,6,0,3,1163067392,56,0,1,20210711,20210707,20210704
605,220075,1759,172,57,3,0,0,0,0,0,0,0,5,0,1,4587520,51,0,0,20210714,20210711,20210704
73,232411,1759,158,68,2,1,0,0,0,0,0,0,2,0,3,1291845632,59,256,0,20210711,20210707,0
73,199556,1759,160,67,4,1,0,0,1,0,0,0,1,0,1,1325400064,69,0,0,20210718,20210714,20210711
21,188545,1759,41,74,1,0,0,1,0,0,0,0,1,0,2,0,74,0,0,20210707,0,0
21,211575,1759,66,65,2,1,0,0,0,0,0,0,2,0,3,1191182336,59,256,0,20210711,20210707,0
45,191043,1759,180,56,2,0,0,0,0,0,0,0,4,0,3,855638016,62,0,0,20210711,20210707,0
45,212404,1759,132,54,2,0,0,0,0,0,0,0,3,0,3,872415232,57,0,0,20210711,20210707,0
45,209658,1759,84,60,2,0,0,0,0,0,0,0,2,0,3,905969664,67,0,0,20210711,20210707,0
45,200104,1759,62,65,2,0,0,0,0,0,0,0,1,0,3,1056964608,68,0,0,20210711,20210707,0
45,211320,1759,14,68,1,0,0,0,0,0,0,0,0,0,2,0,68,0,0,20210707,0,0
111397,231310,1759,56,60,2,0,0,0,0,0,0,0,2,0,3,1006632960,60,0,0,20210711,20210707,0
241,201995,1759,227,77,3,1,0,3,1,0,0,0,2,1,1,1174405120,100,256,0,20210714,20210711,20210707
605,237303,1759,39,64,1,0,0,0,0,0,0,0,1,0,2,0,64,0,0,20210707,0,0
111400,284452,1759,30,71,1,0,0,1,0,0,0,0,1,0,2,0,71,0,0,20210707,0,0
111400,284409,1759,13,62,1,0,0,0,0,0,0,0,1,0,2,0,62,0,0,20210707,0,0
1944,20801,1759,109,61,3,0,0,0,0,0,0,0,0,0,1,0,60,0,0,20210718,20210714,20210711
1944,280455,1759,36,67,1,0,0,0,0,0,0,0,0,0,3,0,67,0,0,20210711,0,0
21,281625,1759,14,58,1,0,0,0,0,0,0,0,1,0,3,0,58,0,0,20210711,0,0
45,153079,1759,14,70,1,0,0,0,0,0,0,0,0,0,3,0,70,0,0,20210711,0,0
73,190871,1759,162,61,3,0,0,0,0,0,0,0,3,0,1,0,64,0,0,20210718,20210714,20210711
241,193747,1759,8,65,1,0,0,0,0,0,0,0,0,0,3,0,65,0,0,20210711,0,0
605,234279,1759,95,61,2,0,0,0,0,2,0,0,2,0,1,0,70,0,0,20210714,20210711,0
605,204234,1759,90,50,1,0,0,0,0,0,0,0,2,0,1,0,50,0,0,20210714,0,0
605,223873,1759,90,56,1,0,0,0,0,0,0,0,2,0,1,0,56,0,0,20210714,0,0
605,203464,1759,90,56,1,0,0,0,0,0,0,0,2,0,1,0,56,0,0,20210714,0,0
605,280892,1759,90,59,1,0,0,0,0,0,0,0,2,0,1,0,59,0,0,20210714,0,0
605,220685,1759,90,60,1,0,0,0,0,0,0,0,2,0,1,0,60,0,0,20210714,0,0
605,191269,1759,30,61,1,0,0,0,0,0,0,0,1,0,1,0,61,0,0,20210714,0,0
73,204963,1759,90,51,1,0,0,0,0,0,0,0,2,0,1,0,51,0,0,20210718,0,0
240,281931,118,90,75,1,0,0,0,0,0,0,0,0,1,1,0,75,0,0,20210810,0,0
73,201535,1759,90,55,1,0,0,0,0,0,0,0,2,0,1,0,55,0,0,20210718,0,0
73,280324,1759,90,54,1,0,0,0,0,0,0,0,2,0,1,0,54,0,0,20210718,0,0
73,222509,1759,60,52,1,0,0,0,0,0,0,0,1,0,1,0,52,0,0,20210718,0,0
73,281385,1759,30,60,1,0,0,0,0,0,0,0,1,0,1,0,60,0,0,20210718,0,0
247,224242,121,621,61,7,0,0,1,0,3,0,0,10,1,6,1060259892,53,0,0,20211207,20211124,20211102
1944,231747,1759,65,70,1,0,0,0,0,0,0,0,0,1,1,0,70,0,0,20210718,0,0
1944,282458,1759,4,61,1,0,0,0,0,0,0,0,0,0,1,0,61,0,0,20210718,0,0
240,204639,118,90,87,1,1,0,0,0,0,0,0,0,1,1,0,87,1,0,20210810,0,0
240,282835,118,90,79,1,0,0,0,0,0,0,0,0,1,1,0,79,0,0,20210810,0,0
240,220493,118,90,75,1,0,0,0,0,0,0,0,0,1,1,0,75,0,0,20210810,0,0
240,208421,118,76,72,1,0,0,0,0,1,0,0,0,1,1,0,72,0,0,20210810,0,0
240,281626,118,90,83,1,1,0,0,0,0,0,0,0,1,1,0,83,1,0,20210810,0,0
240,209989,118,62,76,1,0,0,0,0,0,0,0,0,1,1,0,76,0,0,20210810,0,0
240,208418,118,90,87,1,1,0,0,0,0,0,0,0,1,1,0,87,1,0,20210810,0,0
240,222357,118,90,90,1,0,0,2,1,0,0,0,0,1,1,0,90,0,0,20210810,0,0
240,194765,118,69,70,1,0,0,0,0,0,0,0,0,1,1,0,70,0,0,20210810,0,0
240,200949,118,21,60,1,0,0,0,0,0,0,0,0,0,1,0,60,0,0,20210810,0,0
240,237670,118,28,66,1,0,0,0,0,0,0,0,0,0,1,0,66,0,0,20210810,0,0
240,234151,118,14,69,1,0,0,0,0,0,0,0,0,0,1,0,69,0,0,20210810,0,0
7,231691,118,90,48,1,0,0,0,0,0,0,0,3,0,1,0,48,0,0,20210810,0,0
7,282211,118,90,50,1,0,0,0,0,0,0,0,3,0,1,0,50,0,0,20210810,0,0
7,199667,118,90,53,1,0,0,0,0,0,0,0,3,0,1,0,53,0,0,20210810,0,0
7,201862,118,90,49,1,0,0,0,0,0,0,0,3,0,1,0,49,0,0,20210810,0,0
7,207599,118,90,49,1,0,0,0,0,0,0,0,3,0,1,0,49,0,0,20210810,0,0
7,221479,759,54,61,2,0,0,0,0,0,0,0,2,0,23,62,60,0,0,20220202,20220101,0
7,188253,118,64,50,1,0,0,0,0,0,0,0,2,0,1,0,50,0,0,20210810,0,0
7,177358,118,90,47,1,0,0,0,0,0,0,0,3,0,1,0,47,0,0,20210810,0,0
7,199189,118,90,47,1,0,0,0,0,0,0,0,3,0,1,0,47,0,0,20210810,0,0
7,186146,118,90,56,1,0,0,0,0,0,0,0,3,0,1,0,56,0,0,20210810,0,0
7,205175,118,90,60,1,0,0,0,0,0,0,0,3,0,1,0,60,0,0,20210810,0,0
7,211354,118,26,60,1,0,0,0,0,1,0,0,1,0,1,0,60,0,0,20210810,0,0
15015,280492,565,300,63,3,0,0,0,0,0,0,0,3,1,1,0,71,0,0,20210921,20210824,20210810
7,230005,759,55,69,3,1,0,0,1,0,0,0,1,0,25,19968,67,256,0,20220212,20220123,20220103
15015,194785,565,267,59,3,0,0,0,0,0,0,0,3,1,1,0,59,0,0,20210921,20210824,20210810
15015,281072,565,300,66,3,0,0,0,0,0,0,0,3,1,1,0,71,0,0,20210921,20210824,20210810
15015,284370,565,300,64,3,0,0,0,0,0,0,0,3,1,1,0,68,0,0,20210921,20210824,20210810
15015,193173,565,232,62,3,0,0,0,0,0,0,0,3,0,1,0,71,0,0,20210921,20210824,20210810
15015,173891,565,146,61,2,0,0,0,0,0,0,0,2,0,1,0,66,0,0,20210921,20210810,0
15015,211378,565,300,63,3,0,0,0,0,0,0,0,3,1,1,0,66,0,0,20210921,20210824,20210810
15015,211228,565,300,67,3,2,0,0,0,0,0,0,3,1,1,0,76,1,1,20210921,20210824,20210810
15015,282385,565,300,65,3,1,0,0,1,0,0,0,3,1,1,0,79,0,1,20210921,20210824,20210810
15015,190722,565,256,66,3,0,0,0,0,0,0,0,2,1,1,0,69,0,0,20210921,20210824,20210810
15015,201346,565,113,61,2,0,0,0,0,0,0,0,1,1,1,0,62,0,0,20210824,20210810,0
15015,169843,565,33,71,1,0,0,0,0,0,0,0,0,0,1,0,71,0,0,20210810,0,0
1800,283340,565,90,54,1,0,0,0,0,0,0,0,2,0,1,0,54,0,0,20210810,0,0
1800,205015,565,90,56,1,0,0,0,0,0,0,0,2,0,1,0,56,0,0,20210810,0,0
1800,283590,565,90,50,1,0,0,0,0,0,0,0,2,0,1,0,50,0,0,20210810,0,0
1800,206524,565,90,54,1,0,0,0,0,0,0,0,2,0,1,0,54,0,0,20210810,0,0
1800,213889,565,49,58,1,0,0,0,0,0,0,0,1,0,1,0,58,0,0,20210810,0,0
1800,280978,565,90,51,1,0,0,0,0,0,0,0,2,0,1,0,51,0,0,20210810,0,0
1800,186449,565,90,54,1,0,0,0,0,0,0,0,2,0,1,0,54,0,0,20210810,0,0
1800,231979,565,90,55,1,0,0,0,0,0,0,0,2,0,1,0,55,0,0,20210810,0,0
1800,239554,565,69,49,1,0,0,0,0,0,0,0,2,0,1,0,49,0,0,20210810,0,0
1800,226055,565,90,63,1,1,0,0,0,1,0,0,2,0,1,0,63,1,0,20210810,0,0
1800,208559,565,90,56,1,0,0,0,0,1,0,0,2,0,1,0,56,0,0,20210810,0,0
1800,211792,565,41,61,1,0,0,0,0,0,0,0,1,0,1,0,61,0,0,20210810,0,0
1800,280485,565,21,70,1,0,0,0,0,0,0,0,0,0,1,0,70,0,0,20210810,0,0
1797,182206,565,210,55,2,0,0,0,0,0,0,0,3,0,1,0,58,0,0,20210824,20210810,0
1797,280975,565,120,59,1,0,0,0,0,0,0,0,1,0,1,0,59,0,0,20210810,0,0
1797,284007,565,191,60,2,0,0,0,0,1,0,0,2,0,1,0,63,0,0,20210824,20210810,0
1797,222396,565,210,55,2,0,0,0,0,1,0,0,3,0,1,0,60,0,0,20210824,20210810,0
17,224031,565,180,74,2,0,0,1,1,0,0,0,1,0,1,0,79,0,0,20220227,20220125,0
1797,216459,565,120,58,1,0,0,0,0,0,0,0,1,0,1,0,58,0,0,20210810,0,0
1797,283726,565,148,58,2,1,0,0,0,0,0,0,3,0,1,0,57,1,0,20210824,20210810,0
1797,208769,565,186,59,2,0,0,0,0,0,0,0,2,0,1,0,61,0,0,20210824,20210810,0
1797,283338,565,144,62,2,1,0,0,0,0,0,0,2,0,1,0,68,256,0,20210824,20210810,0
1797,200779,565,210,60,2,0,0,0,0,0,0,0,3,0,1,0,63,0,0,20210824,20210810,0
1797,195481,565,210,72,2,1,0,1,1,0,0,0,3,0,1,0,83,256,0,20210824,20210810,0
1797,229699,565,125,64,2,0,0,0,0,0,0,0,1,1,1,0,70,0,0,20210824,20210810,0
1933,152456,565,120,55,1,0,0,0,0,0,0,0,2,0,1,0,55,0,0,20210810,0,0
1933,282149,565,120,67,1,1,0,0,0,0,0,0,2,0,1,0,67,1,0,20210810,0,0
1933,281136,565,78,59,1,0,0,0,0,0,0,0,1,0,1,0,59,0,0,20210810,0,0
1933,282655,565,120,59,1,0,0,0,0,0,0,0,2,0,1,0,59,0,0,20210810,0,0
1933,204635,565,56,58,1,0,0,0,0,0,0,0,1,0,1,0,58,0,0,20210810,0,0
1933,213201,565,120,59,1,0,0,0,0,0,0,0,2,0,1,0,59,0,0,20210810,0,0
1933,215700,565,63,58,1,0,0,0,0,0,0,0,1,0,1,0,58,0,0,20210810,0,0
1933,281149,565,120,55,1,0,0,0,0,0,0,0,2,0,1,0,55,0,0,20210810,0,0
1933,283395,565,120,62,1,0,0,0,0,0,0,0,2,0,1,0,62,0,0,20210810,0,0
1933,224770,565,120,66,1,0,0,0,0,0,0,0,2,0,1,0,66,0,0,20210810,0,0
1933,229179,565,120,63,1,0,0,0,0,0,0,0,2,0,1,0,63,0,0,20210810,0,0
1933,283584,565,64,63,1,0,0,0,0,0,0,0,1,0,1,0,63,0,0,20210810,0,0
1933,217243,565,42,61,1,0,0,0,0,0,0,0,1,0,1,0,61,0,0,20210810,0,0
1933,211928,565,57,57,1,0,0,0,0,0,0,0,1,0,1,0,57,0,0,20210810,0,0
91,216478,565,210,64,2,0,0,0,0,0,0,0,4,0,1,0,72,0,0,20210922,20210810,0
91,182896,565,250,63,3,0,0,0,0,0,0,0,4,0,1,0,70,0,0,20210922,20210825,20210810
91,178584,565,162,63,2,0,0,0,0,0,0,0,3,0,1,0,72,0,0,20210922,20210810,0
91,281139,565,258,66,3,0,0,1,0,0,0,0,3,0,1,0,71,0,0,20210922,20210825,20210810
91,212100,565,210,62,2,0,0,0,0,0,0,0,4,0,1,0,71,0,0,20210922,20210810,0
91,186559,565,210,65,2,0,0,0,0,0,0,0,2,0,1,0,67,0,0,20210825,20210810,0
91,280997,565,330,70,3,2,0,1,1,0,0,0,5,0,1,0,85,1,1,20210922,20210825,20210810
91,200473,565,330,63,3,0,0,1,0,0,0,0,5,0,1,0,75,0,0,20210922,20210825,20210810
91,194017,565,210,70,2,2,0,0,1,0,0,0,2,0,1,0,65,2,0,20210825,20210810,0
91,280773,565,125,72,3,1,0,1,0,0,0,0,2,0,1,0,77,0,1,20210922,20210825,20210810
91,198331,565,312,65,3,0,0,1,0,0,0,0,4,0,1,0,69,0,0,20210922,20210825,20210810
1925,236663,565,90,50,1,0,0,0,0,0,0,0,2,0,1,0,50,0,0,20210810,0,0
1925,281137,565,90,52,1,0,0,0,0,0,0,0,2,0,1,0,52,0,0,20210810,0,0
1925,204936,565,90,54,1,0,0,0,0,0,0,0,2,0,1,0,54,0,0,20210810,0,0
9,231281,759,1460,67,17,0,0,0,0,3,0,0,10,8,20,905989954,53,0,0,20220103,20220101,20211225
1925,220149,565,90,50,1,0,0,0,0,1,0,0,2,0,1,0,50,0,0,20210810,0,0
1925,202808,565,90,50,1,0,0,0,0,0,0,0,2,0,1,0,50,0,0,20210810,0,0
1925,205818,565,90,50,1,0,0,0,0,0,0,0,2,0,1,0,50,0,0,20210810,0,0
1925,198704,565,90,53,1,0,0,0,0,0,0,0,2,0,1,0,53,0,0,20210810,0,0
1925,283880,565,90,56,1,0,0,0,0,0,0,0,2,0,1,0,56,0,0,20210810,0,0
1925,221697,565,90,71,1,1,0,0,0,0,0,0,2,0,1,0,71,1,0,20210810,0,0
1925,283021,565,90,55,1,0,0,0,0,0,0,0,2,0,1,0,55,0,0,20210810,0,0
1945,221457,565,90,49,1,0,0,0,0,0,0,0,3,0,1,0,49,0,0,20210810,0,0
1945,210952,565,90,52,1,0,0,0,0,0,0,0,3,0,1,0,52,0,0,20210810,0,0
1945,221322,565,90,47,1,0,0,0,0,0,0,0,3,0,1,0,47,0,0,20210810,0,0
1945,201212,565,48,52,1,0,0,0,0,0,0,0,2,0,1,0,52,0,0,20210810,0,0
1945,281613,565,90,48,1,0,0,0,0,0,0,0,3,0,1,0,48,0,0,20210810,0,0
1945,207639,565,67,49,1,0,0,0,0,0,0,0,2,0,1,0,49,0,0,20210810,0,0
1945,240805,565,90,52,1,0,0,0,0,1,0,0,3,0,1,0,52,0,0,20210810,0,0
1945,281047,565,78,50,1,0,0,0,0,0,0,0,2,0,1,0,50,0,0,20210810,0,0
1945,282156,565,90,59,1,0,0,0,0,0,0,0,3,0,1,0,59,0,0,20210810,0,0
1945,167841,565,90,57,1,0,0,0,0,0,0,0,3,0,1,0,57,0,0,20210810,0,0
1945,205161,565,90,57,1,0,0,0,0,0,0,0,3,0,1,0,57,0,0,20210810,0,0
1945,196976,565,42,61,1,0,0,0,0,0,0,0,1,0,1,0,61,0,0,20210810,0,0
1945,180903,565,12,58,1,0,0,0,0,0,0,0,1,0,1,0,58,0,0,20210810,0,0
1945,192970,565,23,58,1,0,0,0,0,0,0,0,1,0,1,0,58,0,0,20210810,0,0
1790,225361,565,300,60,3,0,0,0,0,0,0,0,4,1,1,0,76,0,0,20210922,20210824,20210810
1790,192695,565,300,64,3,0,0,0,0,0,0,0,4,1,1,0,79,0,0,20210922,20210824,20210810
1790,211166,565,300,62,3,0,0,0,0,0,0,0,4,1,1,0,78,0,0,20210922,20210824,20210810
1790,221600,565,300,64,3,0,0,0,0,0,0,0,4,1,1,0,80,0,0,20210922,20210824,20210810
1790,229895,565,258,64,3,1,0,0,0,0,0,0,3,1,1,0,84,0,1,20210922,20210824,20210810
1790,198235,565,268,60,3,0,0,0,0,0,0,0,4,0,1,0,74,0,0,20210922,20210824,20210810
1790,228584,565,193,64,3,0,0,0,0,1,0,0,2,0,1,0,73,0,0,20210922,20210824,20210810
