assetid,balltype,teamcolor1g,teamcolor1r,clubworth,teamcolor2b,teamcolor2r,foundationyear,teamcolor3r,teamcolor1b,opponentweakthreshold,latitude,teamcolor3g,opponentstrongthreshold,teamcolor2g,teamname,adboardid,teamcolor3b,defmentality,powid,rightfreekicktakerid,domesticprestige,genericint2,jerseytype,popularity,teamstadiumcapacity,iscompetitionscarfenabled,cityid,rivalteam,isbannerenabled,midfieldrating,matchdayoverallrating,matchdaymidfieldrating,attackrating,longitude,buspassing,matchdaydefenserating,defenserating,iscompetitionpoleflagenabled,skinnyflags,defteamwidth,longkicktakerid,bodytypeid,trait1vweak,busdribbling,rightcornerkicktakerid,suitvariationid,domesticcups,defaggression,ethnicity,leftcornerkicktakerid,youthdevelopment,teamid,trait1vequal,suittypeid,numtransfersin,stanchionflamethrower,captainid,personalityid,leftfreekicktakerid,leaguetitles,genericbanner,buspositioning,ccpositioning,busbuildupspeed,transferbudget,ccshooting,overallrating,ccpassing,profitability,utcoffset,penaltytakerid,freekicktakerid,crowdskintonecode,defdefenderline,internationalprestige,trainingstadium,form,genericint1,cccrossing,trait1vstrong,matchdayattackrating
15,45,66,32,29998,255,255,1882,32,151,2,51,66,3,255,QPR,2,171,45,-1,169078,8,-1,2,3,18136,2,285,144,2,69,70,69,69,0,53,70,70,2,0,60,169078,0,1057092,33,169078,1,0,49,2,169078,3,15,1057092,0,0,0,193504,1,169078,0,0,0,0,51,4000000,60,70,49,8,0,217758,169078,2,0,1,352,0,74,33,528708,68
17,45,1,221,1045705,255,255,1885,221,1,6,50,1,3,255,Southampton,3,1,68,-1,280091,10,-1,1,5,32384,0,459,1790,0,78,78,77,78,-1,40,77,77,0,0,39,216354,0,132096,43,280091,1,1,59,4,280091,7,17,132096,1,0,0,216194,0,280091,0,0,0,0,39,50545000,39,78,39,6,0,216354,205569,2,0,5,353,0,81,39,1056768,78
18,41,255,255,2285540,88,1,1882,255,255,5,51,255,3,26,Spurs,2,255,68,-1,190460,9,-1,1,8,90000,0,285,1,0,82,83,83,86,0,38,81,81,0,0,63,190460,1,132116,22,190460,1,8,63,4,190460,6,18,132116,0,0,0,190460,0,190460,2,0,0,0,38,71377000,33,82,33,6,0,211117,190460,2,0,8,353,0,83,33,263188,86
19,41,43,114,1265108,249,105,1895,114,69,3,51,43,2,183,West Ham,3,69,39,-1,280162,7,-1,2,7,60000,0,285,97,0,79,78,78,80,0,56,77,78,0,0,39,280162,0,1056770,55,280162,1,3,49,4,280162,4,19,1073154,0,0,0,183855,1,280162,0,0,0,0,53,63180000,60,79,53,4,0,201818,188988,2,0,5,353,0,82,57,1069058,79
21,34,5,220,2428765,255,255,1900,203,45,5,48,48,2,255,Bayern,18,66,75,-1,283125,10,-1,1,10,75000,1,333,22,1,86,86,86,91,11,30,85,85,1,0,32,283125,2,295556,51,283125,1,18,62,2,283125,5,21,295556,0,0,0,208448,0,283125,27,0,0,1,35,90000000,28,86,33,3,1,283125,197445,2,0,10,352,0,87,32,86148,91
22,34,230,255,957605,1,1,1909,222,1,5,51,215,1,1,Dortmund,18,0,60,-1,280058,9,-1,2,9,81360,1,141,34,1,82,82,82,81,7,34,82,82,1,0,34,280058,1,98950,53,192318,0,4,52,2,167431,6,22,98950,2,0,0,280058,0,167431,8,0,0,1,30,50000000,54,82,28,4,1,231443,170797,2,0,8,352,0,84,54,102534,81
23,34,1,1,354186,255,255,1900,1,1,5,51,120,3,255,M'gladbach,18,1,60,-1,228666,6,-1,2,7,54014,1,322,31,1,78,79,78,80,6,38,77,77,1,0,56,228666,2,131600,25,205869,1,3,58,2,228666,6,23,66576,1,0,0,204024,0,228666,5,0,0,1,36,25000000,36,79,36,5,1,213114,144622,2,0,5,352,0,82,36,532496,80
25,34,1,228,84453,1,1,1904,255,43,3,47,255,6,1,Freiburg,18,255,49,-1,190671,4,-1,2,5,24000,1,168,1832,1,72,72,72,76,7,49,72,72,1,1,41,211899,0,132098,56,209769,1,0,42,2,190671,10,25,1056770,2,0,0,190671,1,190671,0,0,0,1,49,5500000,41,72,42,9,1,211899,209846,2,0,4,352,0,77,56,532482,76
27,39,96,40,10039,255,255,1965,1,233,2,54,1,2,255,Hansa Rostock,18,180,49,-1,281205,5,-1,2,5,29000,1,641,110329,1,65,65,65,64,12,37,65,65,1,0,52,281205,1,1049600,33,239174,1,0,45,2,209844,2,27,1049600,2,0,0,201815,0,281205,0,0,0,1,39,600000,59,65,39,6,1,239174,177668,2,0,1,352,0,70,59,1056768,64
28,34,90,1,289407,255,255,1887,1,170,2,53,1,4,255,Hamburg,18,1,76,-1,202428,4,-1,2,7,57000,1,205,38,1,76,75,76,74,9,67,74,74,1,0,56,202428,1,315393,66,216349,0,3,66,2,216349,4,28,315393,1,0,0,184477,0,202428,6,0,0,0,67,30000000,74,75,70,4,1,216349,208574,2,0,5,352,0,79,66,559105,74
29,34,1,255,16179,255,255,1900,153,1,2,49,24,3,255,Kaiserslautern,18,65,75,-1,189383,6,-1,2,5,49780,1,238,169,1,68,69,68,70,7,49,68,68,1,0,42,217787,0,172033,72,189383,1,2,72,2,189383,7,29,303105,2,0,0,217787,0,189383,4,0,0,0,50,3200000,31,69,58,8,1,212158,175996,2,0,2,352,0,72,32,286721,70
31,34,1,255,201642,255,255,1948,225,1,1,50,14,3,255,Köln,18,14,74,-1,186274,5,-1,2,7,49968,1,249,23,1,77,77,77,77,6,67,75,75,1,0,56,189234,0,286976,46,193098,0,4,66,2,189234,4,31,282880,2,0,0,198113,0,189234,3,0,0,0,67,14500000,74,77,62,5,1,189234,189234,2,0,4,352,0,81,66,542976,77
32,34,1,255,334014,1,1,1904,45,1,3,51,45,1,1,Leverkusen,18,45,75,-1,281273,8,-1,2,3,30210,1,277,31,1,80,79,80,76,7,68,78,78,1,0,63,281273,0,167936,73,183711,1,1,73,2,183711,7,32,299008,2,0,0,183711,0,281273,0,0,0,1,66,32000000,79,79,69,3,1,231352,216466,2,0,6,352,0,83,53,1052672,76
34,34,75,1,648410,255,255,1904,13,156,4,51,70,2,255,Schalke,18,223,66,-1,208808,7,-1,2,8,62271,1,178,22,1,78,79,78,76,7,50,81,81,1,0,33,208808,1,181281,63,202087,1,5,53,2,198950,8,34,188449,2,0,0,205362,0,208808,7,0,0,1,51,34000000,42,79,49,6,1,209499,200641,2,0,6,352,0,83,63,155681,76
36,34,255,255,219694,41,211,1893,1,255,2,48,1,5,1,Stuttgart,18,1,75,-1,212692,4,-1,2,7,60449,1,466,1832,1,73,74,73,76,9,49,74,74,1,1,32,226377,0,181248,32,212692,0,3,62,2,212692,7,36,270336,1,0,0,192620,0,226377,5,0,0,0,50,11000000,31,74,48,6,1,183714,164491,2,0,5,352,0,79,32,1052672,76
38,34,146,1,129432,255,255,1899,0,82,2,53,108,4,255,Bremen,18,64,49,-1,193283,4,-1,2,6,42500,1,70,28,1,75,75,75,80,8,52,75,75,1,0,69,283130,0,1089634,66,224334,1,6,40,4,224334,6,38,1106018,2,0,0,199776,0,283130,4,0,0,1,49,7000000,69,75,40,8,1,183574,193283,2,0,4,352,0,79,66,542818,80
39,6,117,49,85745,1,1,1907,255,188,3,45,255,2,1,Atalanta,9,255,46,-1,203807,8,-1,2,5,24276,1,45,190,1,74,75,74,77,9,52,76,76,1,0,59,200521,0,106496,66,203807,1,1,52,2,200521,8,39,1089536,0,0,0,210333,0,203807,0,0,0,0,49,8000000,59,75,52,8,1,200521,143076,2,0,4,352,0,78,56,1089536,77
44,39,87,30,465999,1,1,1908,255,153,3,45,255,2,1,Inter,9,255,45,-1,216352,8,-1,1,9,80018,1,316,47,1,81,80,81,81,9,69,78,78,1,0,42,216352,0,1073280,57,216352,0,7,43,2,193571,6,44,1069184,0,0,0,162835,0,216352,18,0,0,0,70,39000000,72,80,73,4,1,216352,161956,2,0,8,352,0,81,77,1069184,81
45,39,255,255,1124377,1,1,1897,255,255,6,45,255,1,1,Juventus,9,255,67,-1,211110,10,-1,2,9,41475,1,485,44,1,84,85,84,90,7,36,85,85,1,0,41,211110,1,132128,25,200104,1,12,51,4,211110,5,45,132128,0,0,0,170890,0,211110,33,0,0,1,36,90000000,41,85,39,2,1,211110,180206,2,0,10,352,0,85,41,526368,90
46,39,178,102,179905,255,255,1900,1,255,3,41,1,3,255,Lazio,9,1,55,-1,283005,7,-1,1,6,70634,1,408,52,1,79,79,79,79,12,50,79,79,1,0,55,192991,0,528432,65,199767,1,6,65,4,235126,5,46,528432,0,0,0,176266,0,283005,2,0,0,1,68,17500000,63,79,70,5,1,192991,198706,2,0,6,352,0,82,65,542768,79
47,39,2,247,762608,1,1,1899,255,1,3,45,255,2,1,Milan,9,255,67,-1,193352,8,-1,2,9,80018,1,316,44,1,79,80,79,79,9,33,81,81,1,0,57,189125,1,66056,51,202651,1,5,57,4,202651,5,47,131592,0,0,0,158963,0,193352,18,0,0,0,29,52000000,27,80,30,1,1,202651,193352,2,0,8,352,0,84,47,270344,79
48,39,120,38,386405,255,255,1926,66,191,4,40,146,1,255,Napoli,9,217,58,-1,198219,9,-1,1,8,60240,1,338,45,1,82,81,82,83,14,29,80,80,1,0,46,198219,1,115336,50,198219,1,5,56,4,198219,3,48,115336,2,0,0,171877,1,198219,2,0,0,0,28,40000000,24,81,29,3,1,175943,198219,2,1,7,352,0,83,76,312456,83
50,6,212,255,26000,143,9,1913,255,0,2,44,255,4,48,Parma,9,255,49,-1,281610,9,-1,2,6,21473,1,653,189,1,69,69,69,70,10,68,69,69,1,0,65,281610,1,139264,34,216079,0,3,50,2,281283,4,50,1052672,1,0,0,281379,0,281610,0,0,0,0,69,4000000,75,69,80,2,1,281283,188949,2,0,2,352,0,71,34,526336,70
52,39,0,102,514490,0,255,1927,255,0,4,41,255,1,142,Roma,9,255,76,-1,189712,9,-1,2,8,70634,1,408,46,1,83,81,83,80,12,52,80,80,1,0,59,53302,0,172160,39,53302,1,9,69,2,53302,4,52,286848,0,0,0,53302,1,53302,3,0,0,1,52,40000000,44,81,35,4,1,190813,185103,2,0,7,352,0,83,69,139392,80
54,39,29,124,116996,255,255,1906,124,35,4,45,29,1,255,Torino,9,35,66,-1,204102,6,-1,1,5,27958,1,485,45,1,77,76,77,78,7,51,75,75,1,0,66,204102,1,164888,76,281277,1,5,66,4,204102,6,54,172056,0,0,0,235290,1,204102,7,0,0,1,49,12000000,53,76,42,5,1,281277,190544,2,0,4,352,0,80,46,106520,78
55,39,1,1,101995,255,255,1896,1,1,2,46,1,3,255,Udinese,9,1,76,-1,226592,5,-1,2,5,25144,1,499,52,1,75,75,75,74,13,53,75,75,1,0,68,226592,1,1073152,48,161805,1,0,78,2,226592,7,55,286720,0,0,0,161805,1,226592,0,0,0,0,51,7000000,55,75,44,9,1,224933,212616,2,0,4,352,0,79,78,542720,74
57,50,112,32,12999,255,255,1905,0,184,2,47,125,3,255,AJ Auxerre,7,251,34,-1,138066,4,-1,2,5,21379,2,29,110569,1,69,67,67,70,3,49,67,68,2,0,40,138066,0,1057040,55,138066,1,4,45,2,138066,8,57,1073424,0,0,0,138066,0,138066,1,0,0,0,60,2250000,50,68,51,6,1,207640,138066,2,0,3,352,0,74,63,528656,69
59,50,53,36,56135,255,255,1881,33,99,3,44,16,2,255,Girondins de Bx,7,99,29,-1,222943,5,-1,2,6,42115,1,63,219,1,75,75,75,76,0,72,75,75,0,0,25,222943,1,559106,80,281880,0,4,23,2,184271,7,59,559106,0,0,0,184271,0,222943,6,0,0,0,73,9000000,80,75,60,4,1,186405,222737,2,0,3,352,0,78,60,559106,76
62,50,2,218,26995,1,1,1912,255,39,2,48,255,1,1,EA Guingamp,7,255,45,-1,134779,4,-1,2,3,18700,1,201,378,1,74,72,72,76,-3,52,71,73,0,0,59,178051,1,1057026,56,231102,0,2,60,6,213725,5,62,1057026,0,0,0,134779,1,134779,0,0,0,0,49,2000000,59,74,60,6,1,134779,134779,2,0,2,352,0,77,56,526594,76
64,51,0,184,15999,0,248,1906,255,28,2,50,138,2,236,RC Lens,7,21,48,-1,184387,7,-1,1,5,38223,1,274,65,1,69,67,67,69,2,38,65,69,1,0,53,184387,2,1049728,32,281490,0,0,39,2,184387,6,64,1049728,2,0,0,199508,0,184387,1,0,0,0,38,2000000,43,69,33,6,1,184387,184387,2,0,2,352,0,73,43,1052800,69
65,50,18,239,85047,255,255,1944,250,9,3,50,0,2,255,LOSC Lille,7,0,58,-1,201073,6,-1,1,5,50083,1,279,64,1,73,74,73,74,3,69,71,73,0,0,51,201073,2,69688,31,205966,1,6,53,2,176571,5,65,69688,2,0,0,179784,1,201073,3,0,0,1,70,10500000,72,75,65,4,1,201073,216433,2,0,4,352,0,80,31,69688,73
66,50,255,255,199995,131,4,1950,180,255,2,45,0,2,50,OL,7,0,68,-1,221639,8,-1,1,7,59286,1,293,1819,1,77,77,78,78,4,38,76,77,1,0,69,221639,1,1082506,38,205569,1,5,69,2,210513,7,66,148618,0,0,0,180334,0,221639,7,0,0,0,39,24000000,39,77,39,3,1,221639,216594,2,0,6,352,0,80,79,1056906,78
68,50,23,156,25996,255,255,1932,112,43,2,45,14,2,255,FC Metz,7,29,43,-1,234317,4,-1,1,5,25636,0,313,1823,1,71,70,71,68,6,51,69,71,0,0,38,234317,1,1056768,35,237989,1,2,31,2,237989,7,68,1056768,0,0,0,221250,0,234317,0,0,0,0,53,2000000,38,71,31,9,1,225293,137960,2,0,2,352,0,75,35,266240,68
69,50,30,224,466696,255,255,1924,221,35,2,43,22,1,255,AS Monaco,7,33,48,-1,216393,9,-1,2,6,18523,1,321,72,1,80,80,81,83,7,36,78,78,0,0,56,216393,0,115840,53,216393,0,5,40,2,216393,6,69,1098880,0,0,0,215792,0,216393,8,0,0,0,39,35000000,54,80,34,6,1,216393,213565,2,0,6,352,0,83,74,1106048,84
70,50,90,1,48995,38,244,1974,255,148,3,43,255,2,148,Montpellier HSC,7,255,47,-1,163699,5,-1,2,5,32900,0,326,224,1,73,73,72,74,3,50,73,74,0,0,32,163699,1,66560,59,163699,1,2,43,2,163699,6,70,1056768,0,0,0,225126,1,163699,1,0,0,0,52,6000000,32,74,43,6,1,231041,163699,2,0,3,352,0,77,59,1052672,73
71,50,221,254,33279,44,0,1943,255,57,2,47,255,1,87,FC Nantes,7,45,66,-1,223874,4,-1,2,5,37473,1,337,74,1,73,74,73,74,-1,49,74,75,1,0,47,223874,2,148520,37,223874,1,3,67,2,198394,7,71,155688,2,0,0,203884,0,223874,8,0,0,0,50,5500000,31,74,63,7,1,223874,216643,2,0,2,352,0,77,77,1073192,74
72,50,0,204,59994,1,1,1904,255,0,2,43,255,2,1,OGC Nice,7,255,67,-1,212886,6,-1,2,4,36178,0,344,69,1,77,77,78,82,7,39,76,77,0,0,56,216451,1,132260,25,216451,1,3,56,2,216451,5,72,132260,0,0,0,216451,0,216451,4,0,0,0,36,9500000,56,77,36,5,1,212886,216451,2,0,3,352,0,80,56,132260,82
73,50,62,1,2643706,41,200,1970,255,116,3,48,255,2,42,Paris,7,255,68,-1,179813,10,-1,2,9,47929,1,373,219,1,82,84,82,86,2,36,83,83,1,0,55,199556,0,131712,34,190871,1,11,55,2,190871,3,73,131712,0,0,0,199556,0,179813,6,0,0,1,36,130000000,58,83,34,1,1,179813,179813,2,0,10,352,0,86,45,131712,86
74,50,48,223,45768,1,1,1901,255,40,2,48,255,2,1,Stade Rennais,7,255,45,-1,215245,4,-1,1,4,29778,1,400,71,1,72,73,72,73,-1,50,75,75,1,0,42,209504,1,279812,58,215245,0,2,42,2,215245,7,74,1057028,0,0,0,190674,0,215245,0,0,0,1,51,7500000,42,74,42,6,1,190674,215245,2,0,3,352,0,76,58,526596,72
76,51,102,51,8138,255,255,1906,0,204,2,48,159,2,255,RC Strasbourg,7,224,67,-1,197813,6,-1,2,4,29320,1,564,1823,1,72,70,73,68,7,50,69,69,0,0,42,197813,0,139272,32,200966,1,3,62,2,197813,3,76,139272,0,0,0,235553,1,197813,1,0,0,0,50,2000000,47,70,58,5,1,197813,197813,2,0,1,352,0,74,32,1056776,67
77,67,0,240,9198,255,255,1903,240,0,4,57,0,3,255,Aberdeen,3,0,45,-1,201368,7,-1,2,5,20961,0,3,86,1,69,69,70,68,-2,51,70,68,0,0,68,201368,1,1065984,56,177793,0,7,62,2,177793,3,77,1073152,2,0,0,200302,0,201368,4,0,0,0,49,2500000,68,68,62,5,0,201368,201368,2,0,1,352,0,71,76,526336,68
78,67,123,8,59996,255,255,1888,25,16,8,55,141,1,255,Celtic,3,22,60,-1,202539,10,-1,2,7,60832,1,186,86,1,74,74,75,75,-4,36,75,72,0,0,53,202539,1,66724,47,202539,1,37,55,2,202539,4,78,66724,0,0,0,211093,0,202539,48,0,0,0,38,12500000,33,74,33,2,0,202539,202539,2,0,4,352,0,75,33,132260,75
80,67,0,120,7299,255,255,1874,100,41,2,55,12,3,255,Hearts,3,35,44,-1,166844,6,-1,1,5,20099,2,148,81,2,67,67,68,70,-3,50,68,66,0,0,32,166844,2,1105936,61,280766,0,8,47,2,280766,6,80,1105936,2,0,0,156975,0,166844,4,0,0,0,49,1600000,32,66,47,5,0,166844,206565,2,0,1,352,0,69,61,286736,72
81,67,102,0,7199,255,255,1875,25,51,2,56,120,3,255,Hibernian,3,58,45,-1,210881,4,-1,2,6,20421,1,148,80,2,65,65,65,65,-3,49,66,66,0,0,41,210881,1,1089536,47,210881,1,3,63,2,210881,5,81,1073152,2,0,0,200449,1,210881,4,0,0,0,50,1200000,41,65,63,7,0,167705,210881,2,0,2,352,0,68,77,1073152,65
82,67,12,12,5829,255,255,1869,19,205,2,55,19,3,255,Kilmarnock,3,220,47,-1,213570,4,-1,2,2,18128,0,247,184,0,64,64,64,66,-4,49,63,63,0,0,36,205311,1,1082432,64,212680,1,3,38,2,221764,6,82,1089600,2,0,0,226426,1,213570,1,0,0,0,52,850000,36,65,38,7,0,205311,49045,2,0,1,352,0,68,54,528448,66
83,67,159,255,3898,51,153,1886,251,2,2,55,151,4,0,Motherwell,3,20,28,-1,194925,5,-1,2,4,13742,2,331,184,2,63,61,63,63,-3,73,60,61,0,0,33,204787,0,1056832,34,200780,1,2,22,2,204787,3,83,526400,2,0,0,204787,0,194925,1,0,0,0,73,900000,74,62,74,6,0,194925,194925,2,0,1,352,0,67,34,526400,63
86,67,80,50,39997,255,255,1872,220,210,4,55,40,2,255,Rangers,3,40,60,-1,195479,10,-1,1,7,51082,1,186,78,2,70,71,70,71,-4,69,72,72,0,0,62,195479,1,167952,72,195479,1,33,64,4,219216,4,86,102416,0,0,0,221358,0,195479,54,0,0,0,73,8000000,68,71,68,4,0,221714,195479,2,0,3,352,0,75,42,542736,71
88,45,35,1,15000,255,255,1875,1,102,11,52,35,8,255,Birmingham City,3,163,43,-1,226093,5,-1,1,4,29409,2,54,2,2,71,71,71,71,-1,71,71,71,2,0,68,226093,1,1056776,45,282748,1,0,49,2,282748,5,88,1052680,0,0,0,182207,0,226093,0,0,0,0,68,2500000,78,71,79,7,0,226093,178487,2,0,2,352,0,71,45,526344,71
89,45,28,212,5498,255,255,1905,212,43,3,51,28,2,255,Charlton Ath,3,43,43,-1,199516,4,-1,2,5,27111,0,285,97,0,67,67,67,67,0,53,66,66,0,0,70,199516,1,99329,77,199917,1,1,43,2,199516,5,89,1089537,1,0,0,189541,0,199516,0,0,0,0,50,2100000,70,67,43,3,0,199516,199516,2,0,3,352,0,70,37,544769,67
91,45,255,255,149997,1,1,1884,255,255,2,52,255,5,1,Derby County,3,255,43,-1,281894,9,-1,2,6,33010,2,134,14,2,71,72,71,71,-1,53,73,73,2,0,55,205478,0,1049665,38,281894,1,1,54,2,281894,8,91,1056833,0,0,0,198379,0,281894,2,0,0,0,51,120000000,55,72,54,3,0,198331,54033,2,0,1,352,0,74,38,1056833,71
92,45,1,1,1763,255,255,1878,1,1,4,54,1,6,255,Grimsby Town,3,1,74,-1,281895,5,-1,2,4,9052,0,577,1949,2,60,61,60,59,0,67,63,65,0,0,46,201981,2,155648,76,281895,0,0,76,2,237456,4,92,299008,2,0,0,208816,0,281895,0,0,0,0,73,625000,62,61,72,6,0,201981,151213,2,0,1,352,0,65,46,526336,59
94,41,85,30,17000,255,255,1878,30,150,3,52,85,3,255,Ipswich,3,165,66,-1,282197,4,-1,2,5,30311,2,229,1792,2,69,70,69,71,1,51,69,69,2,0,60,282197,1,139522,40,222420,1,1,60,2,282197,6,94,139522,2,0,0,186352,0,282197,1,0,0,0,53,2250000,43,70,44,9,0,282197,180818,2,0,2,352,0,76,40,528642,71
95,41,101,57,1050653,255,255,1884,57,189,4,52,101,3,255,Leicester City,3,209,47,-1,280745,5,-1,2,3,32273,0,272,14,0,79,78,79,79,-1,73,74,76,0,0,54,224422,2,1052688,48,280745,1,0,54,2,208334,4,95,1052688,2,0,0,208334,0,280745,1,0,0,0,73,53707000,64,78,64,5,0,280745,204485,2,0,5,353,0,81,48,526352,79
97,45,36,33,7749,255,255,1885,33,115,2,51,36,3,255,Millwall,3,115,43,-1,224151,10,-1,2,4,19737,2,285,19,1,66,66,66,67,0,49,68,68,2,0,46,224151,1,1052696,39,205970,1,0,55,2,204412,2,97,1056792,2,0,0,193549,0,224151,0,0,0,0,52,1750000,46,66,55,8,0,224151,181681,2,0,1,352,0,71,39,526360,67
106,45,1,231,179997,255,255,1879,221,1,4,54,1,3,255,Sunderland,2,1,26,-1,186200,4,-1,2,7,48707,2,467,13,2,73,73,73,70,-1,72,71,71,2,0,39,186200,1,1052737,37,186200,1,2,22,2,283705,4,106,528449,2,0,0,197937,0,186200,6,0,0,0,70,15000000,79,73,61,9,0,186200,155885,2,0,3,353,0,75,37,526401,70
