competitionid,artificialkey,adsponserid,isapproved,dynamicimageid
223,391,24,1,116
223,392,24,1,3
223,393,24,1,8
223,394,24,1,116
223,395,38,1,0
223,396,37,1,0
223,397,29,1,0
223,398,24,1,116
223,399,39,1,0
223,400,68,1,0
224,401,24,1,117
224,402,24,1,3
224,403,24,1,8
224,404,24,1,117
224,405,38,1,0
224,406,37,1,0
224,407,29,1,0
224,408,24,1,117
224,409,39,1,0
224,410,68,1,0
970,411,24,1,118
970,412,24,1,3
970,413,24,1,8
970,414,24,1,118
970,415,38,1,0
970,416,37,1,0
970,417,29,1,0
970,418,24,1,118
970,419,39,1,0
970,420,68,1,0
980,421,24,1,119
980,422,24,1,3
980,423,24,1,8
980,424,24,1,119
980,425,38,1,0
980,426,37,1,0
980,427,29,1,0
980,428,24,1,119
980,429,39,1,0
980,430,68,1,0
990,431,24,1,44
990,432,24,1,3
990,433,24,1,8
990,434,24,1,44
990,435,38,1,0
990,436,37,1,0
990,437,29,1,0
990,438,24,1,44
990,439,39,1,0
990,440,68,1,0
999,441,24,1,120
999,442,24,1,3
999,443,24,1,8
999,444,24,1,120
999,445,38,1,0
999,446,37,1,0
999,447,29,1,0
999,448,24,1,120
999,449,39,1,0
999,450,68,1,0
820,451,24,1,128
820,452,24,1,3
820,453,24,1,8
820,454,24,1,128
820,455,38,1,0
820,456,37,1,0
820,457,29,1,0
820,458,24,1,128
820,459,39,1,0
820,460,68,1,0
822,461,24,1,128
822,462,24,1,3
822,463,24,1,8
822,464,24,1,128
822,465,38,1,0
822,466,37,1,0
822,467,29,1,0
822,468,24,1,128
822,469,39,1,0
822,470,68,1,0
851,471,24,1,128
851,472,24,1,3
851,473,24,1,8
851,474,24,1,128
851,475,38,1,0
851,476,37,1,0
851,477,29,1,0
851,478,24,1,128
851,479,39,1,0
851,480,68,1,0
867,481,24,1,128
867,482,24,1,3
867,483,24,1,8
867,484,24,1,128
867,485,38,1,0
867,486,37,1,0
867,487,29,1,0
867,488,24,1,128
867,489,39,1,0
867,490,68,1,0
821,491,24,1,130
821,492,24,1,3
821,493,24,1,8
821,494,24,1,130
821,495,38,1,0
821,496,37,1,0
821,497,29,1,0
821,498,24,1,130
821,499,39,1,0
821,500,68,1,0
847,501,24,1,130
847,502,24,1,3
847,503,24,1,8
847,504,24,1,130
847,505,38,1,0
847,506,37,1,0
847,507,29,1,0
847,508,24,1,130
847,509,39,1,0
847,510,68,1,0
848,511,24,1,130
848,512,24,1,3
848,513,24,1,8
848,514,24,1,130
848,515,38,1,0
848,516,37,1,0
848,517,29,1,0
848,518,24,1,130
848,519,39,1,0
848,520,68,1,0
849,521,24,1,130
849,522,24,1,3
849,523,24,1,8
849,524,24,1,130
849,525,38,1,0
849,526,37,1,0
849,527,29,1,0
849,528,24,1,130
849,529,39,1,0
849,530,68,1,0
850,531,24,1,130
850,532,24,1,3
850,533,24,1,8
850,534,24,1,130
850,535,38,1,0
850,536,37,1,0
850,537,29,1,0
850,538,24,1,130
850,539,39,1,0
850,540,68,1,0
868,541,24,1,130
868,542,24,1,3
868,543,24,1,8
868,544,24,1,130
868,545,38,1,0
868,546,37,1,0
868,547,29,1,0
868,548,24,1,130
868,549,39,1,0
868,550,68,1,0
869,551,24,1,130
869,552,24,1,3
869,553,24,1,8
869,554,24,1,130
869,555,38,1,0
869,556,37,1,0
869,557,29,1,0
869,558,24,1,130
869,559,39,1,0
869,560,68,1,0
870,561,24,1,130
870,562,24,1,3
870,563,24,1,8
870,564,24,1,130
870,565,38,1,0
870,566,37,1,0
870,567,29,1,0
870,568,24,1,130
870,569,39,1,0
870,570,68,1,0
871,571,24,1,130
871,572,24,1,3
871,573,24,1,8
871,574,24,1,130
871,575,38,1,0
871,576,37,1,0
871,577,29,1,0
871,578,24,1,130
871,579,39,1,0
871,580,68,1,0
840,581,24,1,125
840,582,24,1,3
840,583,24,1,8
840,584,24,1,125
840,585,38,1,0
840,586,37,1,0
840,587,29,1,0
840,588,24,1,125
840,589,39,1,0
840,590,68,1,0
860,591,24,1,125
860,592,24,1,3
860,593,24,1,8
860,594,24,1,125
860,595,38,1,0
860,596,37,1,0
860,597,29,1,0
860,598,24,1,125
860,599,39,1,0
860,600,68,1,0
841,601,24,1,127
841,602,24,1,3
841,603,24,1,8
841,604,24,1,127
841,605,38,1,0
841,606,37,1,0
841,607,29,1,0
841,608,24,1,127
841,609,39,1,0
841,610,68,1,0
865,611,24,1,127
865,612,24,1,3
865,613,24,1,8
865,614,24,1,127
865,615,38,1,0
865,616,37,1,0
865,617,29,1,0
865,618,24,1,127
865,619,39,1,0
865,620,68,1,0
842,621,24,1,126
842,622,24,1,3
842,623,24,1,8
842,624,24,1,126
842,625,38,1,0
842,626,37,1,0
842,627,29,1,0
842,628,24,1,126
842,629,39,1,0
842,630,68,1,0
866,631,24,1,126
866,632,24,1,3
866,633,24,1,8
866,634,24,1,126
866,635,38,1,0
866,636,37,1,0
866,637,29,1,0
866,638,24,1,126
866,639,39,1,0
866,640,68,1,0
843,641,24,1,123
843,642,24,1,3
843,643,24,1,8
843,644,24,1,123
843,645,38,1,0
843,646,37,1,0
843,647,29,1,0
843,648,24,1,123
843,649,39,1,0
843,650,68,1,0
863,651,24,1,123
863,652,24,1,3
863,653,24,1,8
863,654,24,1,123
863,655,38,1,0
863,656,37,1,0
863,657,29,1,0
863,658,24,1,123
863,659,39,1,0
863,660,68,1,0
844,661,24,1,124
844,662,24,1,3
844,663,24,1,8
844,664,24,1,124
844,665,38,1,0
844,666,37,1,0
844,667,29,1,0
844,668,24,1,124
844,669,39,1,0
844,670,68,1,0
864,671,24,1,124
864,672,24,1,3
864,673,24,1,8
864,674,24,1,124
864,675,38,1,0
864,676,37,1,0
864,677,29,1,0
864,678,24,1,124
864,679,39,1,0
864,680,68,1,0
845,681,24,1,122
845,682,24,1,3
845,683,24,1,8
845,684,24,1,122
845,685,38,1,0
845,686,37,1,0
845,687,29,1,0
845,688,24,1,122
845,689,39,1,0
845,690,68,1,0
861,691,24,1,122
861,692,24,1,3
861,693,24,1,8
861,694,24,1,122
861,695,38,1,0
861,696,37,1,0
861,697,29,1,0
861,698,24,1,122
861,699,39,1,0
861,700,68,1,0
846,701,24,1,129
846,702,24,1,3
846,703,24,1,8
846,704,24,1,129
846,705,38,1,0
846,706,37,1,0
846,707,29,1,0
846,708,24,1,129
846,709,39,1,0
846,710,68,1,0
862,711,24,1,129
862,712,24,1,3
862,713,24,1,8
862,714,24,1,129
862,715,38,1,0
862,716,37,1,0
862,717,29,1,0
862,718,24,1,129
862,719,39,1,0
862,720,68,1,0
0,721,1,0,0
0,722,1,0,0
0,723,1,0,0
0,724,1,0,0
0,725,1,0,0
0,726,1,0,0
0,727,1,0,0
0,728,1,0,0
0,729,1,0,0
0,730,1,0,0
