growthdate,injurydate,initialcurveoffset,playerid,injuryduration
8542,0,265,282419,0
8126,0,276,281374,0
8958,0,283,283697,0
8126,0,313,281102,0
8126,0,300,281244,0
9147,0,299,282418,0
8126,0,284,281153,0
9129,0,1,53736,0
9129,0,20,53739,0
9126,0,195,283593,0
9151,0,5,53756,0
8289,0,229,280701,0
9147,0,266,281152,0
9132,0,227,281151,0
8126,0,322,281150,0
7710,0,321,280487,0
7710,0,303,280486,0
8126,0,289,281149,0
7710,0,325,280485,0
8542,0,353,282417,0
8898,0,257,280484,0
8542,0,315,282416,0
8542,0,302,282415,0
8126,0,285,281223,0
8542,0,221,282414,0
9140,0,300,282581,0
9128,0,19,54050,0
8542,0,279,282413,0
8542,0,269,282529,0
9138,0,41,101317,0
8958,0,373,283601,0
8958,0,273,283820,0
9131,0,9,101488,0
8126,0,287,281222,0
8489,0,115,101880,0
7710,0,319,280550,0
8542,0,311,282580,0
9133,0,211,281290,0
7710,0,272,280549,0
7710,0,268,280483,0
8958,0,282,284312,0
7710,0,314,280548,0
8958,0,327,283805,0
8126,0,276,281373,0
8126,0,357,281321,0
8542,0,288,282607,0
7710,0,290,280568,0
9126,0,292,283728,0
8542,0,346,282606,0
8542,0,286,282334,0
9135,0,27,105533,0
9148,0,245,281338,0
8126,0,265,281337,0
9136,0,261,282579,0
7710,0,281,280605,0
8542,0,306,282578,0
9124,0,237,283745,0
9124,0,0,107084,0
8733,0,193,281199,0
7710,0,291,280704,0
9123,0,17,107298,0
8126,0,326,281198,0
9149,0,13,107579,0
8542,0,308,282772,0
8542,0,321,282757,0
9129,0,26,109493,0
9132,0,178,280562,0
9143,0,229,280604,0
8126,0,268,281426,0
7710,0,292,280561,0
7710,0,275,280603,0
8958,0,308,283949,0
8542,0,331,282727,0
9133,0,10,110974,0
8126,0,335,281425,0
8542,0,289,282726,0
8904,0,298,281753,0
8317,0,272,280508,0
9128,0,8,111328,0
7710,0,198,280703,0
8958,0,273,283592,0
9137,0,6,111661,0
8542,0,233,282345,0
8126,0,320,281197,0
8542,0,258,282465,0
8126,0,212,281770,0
8542,0,269,282464,0
8311,0,229,280507,0
9135,0,233,280590,0
9135,0,250,280696,0
7710,0,335,280602,0
9122,0,24,114356,0
8708,0,206,280601,0
9130,0,245,282756,0
9144,0,64,115888,0
9146,0,243,282463,0
7710,0,209,280702,0
8126,0,285,281196,0
9124,0,4,116917,0
8958,0,325,283646,0
9123,0,24,118646,0
9136,0,292,281148,0
9138,0,9,118794,0
9139,0,299,282734,0
8126,0,279,281147,0
9144,0,30,120280,0
8920,0,295,281195,0
8126,0,278,281146,0
8542,0,337,282666,0
8542,0,301,282638,0
8126,0,307,281450,0
7710,0,292,280522,0
8958,0,277,283696,0
8126,0,312,281221,0
9140,0,5,121933,0
8542,0,234,282504,0
8542,0,329,282503,0
9135,0,257,283695,0
9139,0,21,121988,0
8126,0,335,281220,0
8542,0,285,282577,0
9136,0,3,122541,0
8310,0,225,281372,0
9143,0,0,122649,0
9121,0,16,122718,0
7710,0,269,280584,0
9144,0,239,281769,0
8126,0,276,281336,0
8126,0,314,281289,0
9134,0,279,281288,0
7710,0,280,280649,0
8126,0,312,281287,0
9141,0,269,281462,0
8958,0,316,283999,0
9141,0,258,282771,0
9147,0,208,283998,0
8126,0,306,281461,0
8126,0,258,281460,0
8958,0,258,283997,0
9144,0,287,282770,0
9146,0,33,125397,0
8958,0,288,283516,0
9142,0,-11,125871,0
8126,0,281,281459,0
8958,0,345,283996,0
9150,0,20,126909,0
9137,0,3,128529,0
8126,0,353,281243,0
8126,0,264,281118,0
9149,0,5,132740,0
8126,0,256,281229,0
8958,0,307,283971,0
7710,0,268,280682,0
8958,0,323,283645,0
9121,0,21,134779,0
9126,0,270,281101,0
9122,0,175,282412,0
9137,0,289,281219,0
8958,0,323,283878,0
8542,0,311,282665,0
8542,0,350,282411,0
9134,0,65,134968,0
9144,0,244,283515,0
9125,0,14,135056,0
8958,0,299,283877,0
9138,0,9,135190,0
8126,0,316,281335,0
8542,0,278,282877,0
8925,0,68,135451,0
9131,8814,18,135507,21
9131,0,3,135587,0
8126,0,302,281424,0
9123,0,259,283948,0
8495,0,256,281423,0
9134,0,259,282410,0
9144,0,9,135891,0
9127,0,262,281628,0
8542,0,242,282970,0
8126,0,335,281839,0
7710,0,365,280726,0
7710,0,313,280725,0
7710,0,355,280724,0
8958,0,269,284509,0
8725,0,244,281838,0
8126,0,298,281355,0
9133,0,253,280526,0
9143,0,37,137109,0
8542,0,287,282996,0
9146,0,2,137166,0
7710,0,223,280547,0
7710,0,305,280546,0
8126,0,318,281218,0
7710,0,236,280695,0
9142,0,268,281194,0
7710,0,319,280521,0
8542,0,322,282576,0
9134,0,30,137359,0
9141,0,41,137361,0
7710,0,198,280545,0
8542,0,329,282575,0
8126,0,323,281286,0
8542,0,244,282574,0
9147,0,-3,137419,0
8542,0,221,282502,0
8126,0,214,281285,0
9131,0,9,137461,0
9134,0,188,283591,0
8126,0,264,281202,0
9143,0,272,282591,0
8542,0,287,282501,0
9132,0,-1,137661,0
9138,0,193,281307,0
8716,0,243,281306,0
8542,0,344,282500,0
8542,0,335,282499,0
8126,0,239,281284,0
8126,0,199,281283,0
8542,0,314,282409,0
9123,0,13,137785,0
8126,0,274,281282,0
8542,0,291,282876,0
7710,0,262,280544,0
8542,0,292,282462,0
7710,0,273,280506,0
8542,0,307,282461,0
9144,0,19,138026,0
9147,0,30,138066,0
9145,0,14,138081,0
8126,0,311,281145,0
8312,0,254,281117,0
8126,0,332,281345,0
7710,0,286,280482,0
8542,0,332,282528,0
8482,0,234,280684,0
8126,0,284,281144,0
8542,0,212,283016,0
8958,0,295,283514,0
8958,0,338,283876,0
8126,0,281,281371,0
8126,0,291,281143,0
8126,0,338,281315,0
9132,0,290,282982,0
8542,0,268,282963,0
7710,0,285,280600,0
8126,0,274,281857,0
9136,0,33,138351,0
8542,0,343,283113,0
8126,0,339,281095,0
8958,0,338,283590,0
8958,0,304,283589,0
9127,0,28,138413,0
8126,0,273,281467,0
8126,0,292,281242,0
8126,0,284,281627,0
9128,0,-4,138462,0
7710,0,265,280464,0
8925,0,261,281422,0
9136,0,284,283947,0
8126,0,211,281758,0
9139,0,22,138698,0
8126,0,270,281449,0
8542,0,207,283034,0
8126,0,223,281142,0
9136,0,5,138722,0
9143,0,256,282362,0
8126,0,244,281370,0
9125,0,32,138786,0
9150,0,278,282839,0
8126,0,256,281527,0
9134,0,240,281526,0
9137,0,230,283588,0
8542,0,302,282573,0
8542,0,313,282572,0
8542,0,315,282460,0
9135,0,22,138956,0
9139,0,8,138981,0
8126,0,297,281344,0
7710,0,330,280648,0
7710,0,241,280647,0
8542,0,274,282838,0
7710,0,306,280646,0
9148,0,17,139068,0
8126,0,291,281511,0
7710,0,281,280692,0
7901,0,246,280674,0
9151,0,-6,139257,0
7710,0,266,280613,0
8126,0,310,281383,0
9132,0,237,282408,0
9151,0,284,281094,0
8126,0,310,281093,0
9150,0,276,282407,0
8913,0,287,281141,0
8958,0,294,283587,0
8126,0,307,281140,0
8542,0,357,283091,0
9143,0,89,139443,0
7710,0,297,280481,0
9124,0,54,139471,0
9124,0,288,282406,0
9122,0,2,139476,0
8542,0,292,282969,0
8958,0,270,284347,0
8958,0,327,283875,0
8302,0,266,281314,0
8958,0,290,283482,0
8126,0,338,281421,0
8542,0,296,282664,0
9149,0,23,139668,0
7710,0,318,280559,0
9131,0,2,139720,0
9133,0,1,139727,0
8126,0,300,281193,0
9123,0,7,139836,0
8126,0,305,281192,0
9140,0,258,281191,0
8542,0,312,282590,0
8126,0,266,281305,0
8126,0,287,281781,0
9121,0,221,281108,0
8542,0,285,282981,0
7710,0,325,280691,0
9150,0,296,282875,0
9134,0,39,140082,0
7710,0,323,280480,0
7710,0,326,280678,0
8927,0,63,140164,0
7710,0,306,280720,0
8958,0,342,284486,0
7710,0,290,280719,0
8126,0,322,281823,0
8126,0,312,281822,0
8126,0,312,281714,0
9136,0,1,140233,0
8126,0,325,281740,0
7710,0,267,280690,0
8126,0,304,281712,0
7710,0,265,280645,0
8706,0,244,281343,0
8542,0,243,282571,0
9122,0,14,140300,0
8126,0,287,281139,0
8958,0,292,284010,0
7710,0,270,280528,0
8126,0,277,281138,0
9132,0,11,140423,0
9124,0,245,281137,0
8126,0,262,281369,0
8958,0,317,283586,0
8126,0,333,281313,0
8542,0,241,282598,0
8542,0,277,282663,0
9151,0,-1,140498,0
7710,0,322,280658,0
8542,0,312,283111,0
8126,0,180,281859,0
8312,0,263,280463,0
9126,0,15,142244,0
9122,0,6,142258,0
8542,0,308,282361,0
7710,0,328,280468,0
8312,0,260,280467,0
8542,0,365,282506,0
8542,0,334,282527,0
8126,0,326,281281,0
9145,0,-1,142454,0
8542,0,332,282725,0
9136,0,269,282755,0
9129,0,228,282837,0
7710,0,297,280644,0
7710,0,291,280643,0
7710,0,294,280642,0
8126,0,323,281510,0
7710,0,243,280641,0
8958,0,327,284086,0
9124,0,217,281509,0
8542,0,319,282836,0
8126,0,301,281508,0
9144,0,16,142762,0
8126,0,345,281507,0
7710,0,260,280640,0
8958,0,249,284085,0
8126,0,293,281506,0
7710,0,282,280639,0
8126,0,313,281505,0
8312,0,242,280638,0
9125,0,278,281504,0
9144,0,256,284002,0
8126,0,220,281503,0
9133,0,220,281502,0
8542,0,324,282835,0
9139,0,-2,142959,0
9122,0,241,284084,0
8126,0,323,281501,0
8126,0,276,281500,0
7710,0,252,280637,0
8126,0,286,281499,0
8073,0,260,280636,0
9138,0,249,282834,0
7710,0,265,280635,0
9136,0,-1,143076,0
8958,0,308,284083,0
9137,0,263,281498,0
7710,0,341,280634,0
8126,0,250,281497,0
8542,0,302,282833,0
8958,0,336,284082,0
7710,0,199,280633,0
9136,0,284,281496,0
9150,0,-11,143224,0
9125,0,271,281458,0
9133,0,2,143284,0
9138,0,9,143306,0
8126,0,351,281495,0
8126,0,277,281494,0
9143,0,233,281493,0
8958,0,292,284081,0
9126,0,282,281492,0
7710,0,263,280632,0
9125,0,265,283995,0
8958,0,204,283994,0
8305,0,245,280614,0
8542,0,338,282769,0
7710,0,238,280583,0
9123,0,268,282768,0
8958,0,262,283993,0
9145,0,8,143745,0
9125,0,6,143751,0
9149,0,273,282767,0
7885,0,11,143809,0
9139,0,245,283992,0
8542,0,269,282754,0
9133,0,275,282753,0
7710,0,299,280733,0
9124,0,0,144160,0
9125,0,-1,144172,0
7653,0,21,144200,0
8542,0,343,282766,0
8542,0,271,282765,0
9150,0,4,144368,0
8126,0,231,281457,0
8958,0,251,283970,0
9144,0,224,283969,0
9140,0,3,144511,0
8126,0,283,281626,0
8542,0,248,282724,0
8082,0,231,280599,0
8295,0,263,280598,0
9122,0,267,281420,0
7294,0,46,145758,0
8958,0,270,283946,0
8542,0,286,282723,0
7710,0,218,280597,0
9132,0,265,281780,0
7710,0,319,280596,0
8126,0,286,281419,0
8542,0,304,282722,0
9144,0,276,281418,0
8126,0,274,281417,0
9139,0,5,146296,0
9134,0,266,282983,0
8126,0,279,281416,0
8303,0,181,281415,0
8542,0,253,282721,0
7710,0,196,280595,0
9121,0,233,281414,0
8126,0,264,281413,0
8542,0,276,282720,0
8958,0,251,283945,0
9142,0,269,281625,0
9136,0,231,283944,0
9137,0,165,283943,0
9150,0,260,283942,0
9135,0,214,282719,0
8542,0,267,282718,0
9137,0,228,282717,0
9135,0,35,146760,0
9147,0,273,283941,0
8911,0,26,146947,0
8542,0,306,282716,0
9139,0,200,281412,0
8126,0,252,281411,0
8958,0,240,284080,0
8309,0,243,281410,0
8542,0,310,282715,0
8126,0,318,281409,0
8958,0,305,283940,0
7710,0,314,280594,0
7710,0,252,280589,0
8958,0,313,283860,0
9123,0,10,147196,0
8958,0,306,283859,0
9136,0,278,283858,0
9145,0,16,147579,0
9150,0,-7,147584,0
8542,0,272,282654,0
8542,0,340,282653,0
9121,0,140,282652,0
8126,0,313,281364,0
8126,0,205,281363,0
9147,0,237,283847,0
9126,0,2,148119,0
8542,0,275,282651,0
9149,0,277,281362,0
9140,0,255,280588,0
8733,0,278,281298,0
9123,0,-1,148210,0
9138,0,-2,148212,0
8542,0,331,282650,0
8126,0,304,281361,0
8916,0,265,281360,0
7710,0,321,280575,0
7710,0,264,280574,0
8126,0,339,281334,0
7710,0,269,280573,0
9128,0,7,148526,0
9125,0,247,283819,0
9140,0,244,281100,0
8126,0,249,281320,0
8958,0,233,284510,0
7710,0,219,280567,0
8903,0,250,280566,0
8126,0,295,281319,0
9148,0,300,281624,0
9122,0,237,283804,0
9142,0,4,148729,0
8542,0,356,282605,0
9142,0,-2,148732,0
7710,0,271,280565,0
9122,0,297,282629,0
8542,0,295,282589,0
8126,0,304,281304,0
8126,0,255,281279,0
8911,0,143,149147,0
7710,0,266,280543,0
8126,0,246,281278,0
8491,0,257,280542,0
8126,0,238,281277,0
9135,0,21,149270,0
9123,0,20,149306,0
9134,0,16,149309,0
8729,0,214,280541,0
9133,0,239,281276,0
8290,0,218,281241,0
8126,0,341,281240,0
9121,0,56,149721,0
8126,0,301,281136,0
8958,0,291,283727,0
8126,0,230,281239,0
7710,0,339,280527,0
8724,0,278,280525,0
9133,0,15,150106,0
8126,0,323,281111,0
9133,0,253,281217,0
9131,0,239,282498,0
8126,0,321,281216,0
9141,0,-4,150477,0
8920,0,220,283008,0
8958,0,268,283694,0
9140,0,278,281764,0
8720,0,260,281190,0
8908,0,161,280505,0
9146,0,264,283644,0
7710,0,273,280700,0
8958,0,241,283643,0
9139,0,33,150657,0
9142,0,294,283642,0
9131,0,14,150724,0
7710,0,358,280479,0
8958,0,286,283600,0
9136,0,23,150995,0
8542,0,315,282360,0
8898,0,283,282405,0
8898,0,254,280478,0
7710,0,366,280477,0
7710,0,262,280616,0
8126,0,307,281135,0
7710,0,347,280499,0
7710,0,295,280476,0
8916,0,259,282597,0
8317,0,224,281116,0
9144,0,60,151743,0
8126,0,194,281779,0
9141,0,51,152031,0
9149,0,34,152036,0
8958,0,297,283513,0
9134,0,207,283512,0
9126,0,4,152107,0
8917,0,265,281092,0
8899,0,60,152181,0
9122,0,-6,152211,0
9147,0,272,282333,0
8958,0,248,283585,0
9132,0,0,152456,0
9142,0,283,283803,0
9138,0,213,281438,0
9125,0,-5,152483,0
8542,0,338,282404,0
8542,0,341,282403,0
8958,0,293,283584,0
8542,0,288,282402,0
9140,0,35,152554,0
9146,0,-1,152567,0
8958,0,208,283802,0
7710,0,273,280681,0
9140,0,263,283801,0
8126,0,320,281318,0
7710,0,294,280524,0
8958,0,256,283583,0
7710,0,232,280475,0
9122,0,-5,152729,0
8318,0,236,280609,0
8542,0,286,282526,0
8126,0,316,281134,0
8542,0,303,282401,0
9138,0,33,152814,0
8126,0,311,281623,0
8126,0,290,281622,0
9122,0,220,282400,0
8922,0,244,282399,0
9135,0,-1,152880,0
8542,0,271,282995,0
9127,0,254,280694,0
9125,0,199,283582,0
9151,0,213,282998,0
9141,0,284,284079,0
7710,0,279,280631,0
9143,0,206,280630,0
8126,0,288,281491,0
9129,0,34,152922,0
8542,0,297,282628,0
8542,0,279,282627,0
8126,0,318,281133,0
8308,0,231,281490,0
9139,0,5,152996,0
9137,0,287,281489,0
8901,0,238,281488,0
8542,0,304,282626,0
9142,0,256,283800,0
9131,0,4,153048,0
8542,0,249,282832,0
9136,0,268,282831,0
9126,0,75,153062,0
7710,0,266,280629,0
9135,0,-5,153079,0
8958,0,254,283581,0
7294,0,302,280452,0
9139,0,1,153164,0
8542,0,310,282830,0
9127,0,251,281487,0
9136,0,286,283641,0
8126,0,309,281621,0
9137,0,40,153269,0
9146,0,3,153275,0
8542,0,275,282459,0
9131,0,6,153297,0
9147,0,231,284393,0
8126,0,259,281408,0
9149,0,9,154216,0
9124,0,66,154401,0
7710,0,188,280593,0
8920,0,231,282570,0
8714,0,78,154725,0
8126,0,327,281333,0
9140,0,85,154950,0
9149,0,3,154954,0
9150,0,265,283882,0
8542,0,274,282604,0
8126,0,309,281771,0
8735,0,264,280680,0
8126,0,330,281837,0
7710,0,267,280723,0
7710,0,304,280722,0
8958,0,290,284508,0
8958,0,291,284507,0
9122,0,-1,155355,0
8910,0,75,155422,0
7294,0,39,155463,0
8542,0,316,282359,0
9148,0,1,155524,0
9138,0,2,155532,0
9129,0,280,282398,0
8542,0,311,282358,0
8542,0,324,282357,0
8542,0,248,282356,0
8126,0,338,281836,0
8958,0,300,283818,0
8126,0,322,281332,0
8126,0,262,281099,0
8958,0,255,283511,0
8958,0,270,283510,0
9148,0,258,283464,0
9122,0,-4,155862,0
9122,0,17,155871,0
8542,0,295,282525,0
7294,0,24,155886,0
9139,0,-3,155887,0
8542,0,268,282994,0
9147,0,80,155901,0
9126,0,43,155930,0
8958,0,327,283939,0
9140,0,2,155946,0
9129,0,16,155976,0
9123,0,11,155979,0
8126,0,271,281110,0
8958,0,341,283938,0
9136,0,47,155989,0
9139,0,3,155998,0
8958,0,323,283599,0
8126,0,291,281166,0
7710,0,205,280677,0
9123,0,270,282397,0
9147,0,241,282396,0
8126,0,279,281354,0
7710,0,242,280579,0
9136,0,6,156253,0
8958,0,298,284428,0
9132,0,81,156299,0
8542,0,328,283011,0
7710,0,299,280474,0
8126,0,292,281739,0
7710,0,247,280673,0
7710,0,265,280689,0
8542,0,261,282980,0
8542,0,245,282979,0
8126,0,298,281738,0
8126,0,344,281737,0
9146,0,230,283640,0
8958,0,285,284346,0
7710,0,278,280688,0
9137,0,-6,156437,0
9121,0,-175,156443,0
9121,0,232,282497,0
9151,0,4,156464,0
8542,0,303,282395,0
7710,0,312,280718,0
9125,0,280,281821,0
8126,0,339,281820,0
8126,0,309,281486,0
9140,0,-11,156519,0
7710,0,309,280459,0
8958,0,266,283481,0
8542,0,242,282458,0
8914,0,241,282457,0
7710,0,317,280558,0
7710,0,273,280628,0
9136,0,3,156675,0
8126,0,257,281437,0
9131,0,281,281436,0
8958,0,287,284091,0
8126,0,263,281435,0
8542,0,278,282733,0
9125,0,17,156894,0
8126,0,294,281711,0
9139,0,12,156975,0
8542,0,308,282569,0
9123,0,32,157018,0
7710,0,301,280687,0
8126,0,367,281238,0
9124,0,254,281448,0
9141,0,269,282524,0
9130,0,12,157217,0
8126,0,325,281485,0
8126,0,297,281237,0
8542,0,292,282714,0
9151,0,285,281736,0
8126,0,230,281735,0
8542,0,237,282456,0
9138,0,19,157301,0
9140,0,246,283480,0
9150,0,6,157305,0
9121,0,6,157310,0
8126,0,291,281763,0
9147,0,-8,157407,0
7710,0,279,280686,0
8126,0,242,281407,0
8958,0,288,283937,0
8958,0,326,283881,0
8958,0,334,284384,0
9138,0,247,284345,0
9148,0,17,157528,0
8126,0,260,281484,0
8126,0,270,281275,0
8958,0,254,284377,0
8126,0,279,281189,0
8542,0,268,282339,0
8126,0,358,281215,0
9150,0,279,282394,0
8958,0,290,283479,0
8126,0,298,281765,0
9130,0,-1,157698,0
8126,0,278,281214,0
8126,0,362,281860,0
9147,0,6,157716,0
9147,0,2,157734,0
8542,0,301,282568,0
9131,0,250,280540,0
9150,0,-6,157804,0
9147,0,-4,157888,0
8958,0,282,283843,0
8958,0,316,283842,0
9145,0,15,158023,0
8126,0,306,281483,0
9124,0,215,282829,0
9134,0,13,158121,0
9137,0,284,280520,0
8542,0,231,282944,0
9131,0,12,158138,0
9127,0,0,158167,0
9125,0,258,283693,0
8504,0,239,280504,0
9128,0,3,158228,0
8958,0,326,284390,0
8126,0,331,281856,0
9150,0,7,158282,0
9145,0,243,284434,0
9124,0,287,282567,0
8126,0,237,281303,0
9136,0,4,158375,0
9121,0,3,158394,0
9147,0,6,158438,0
8126,0,276,281382,0
8126,0,311,281274,0
8542,0,299,282984,0
8126,0,272,281482,0
8126,0,262,281734,0
7710,0,279,280627,0
9128,0,287,281620,0
9121,0,25,158626,0
9121,0,0,158657,0
9137,0,8,158664,0
8542,0,267,282496,0
8958,0,320,283799,0
8542,0,259,282355,0
9136,0,0,158685,0
8126,0,300,281466,0
9122,0,160,281273,0
9141,0,-3,158777,0
8126,0,285,281481,0
9141,0,285,282828,0
9142,0,-3,158795,0
9133,0,-4,158800,0
8126,0,298,281447,0
8126,0,307,281331,0
8126,0,293,281213,0
8958,0,301,283726,0
9139,0,5,158887,0
8958,0,191,283880,0
9141,0,1,158905,0
8542,0,362,282752,0
9125,0,20,158937,0
8958,0,264,284173,0
9137,0,10,158963,0
7710,0,293,280626,0
8126,0,298,281480,0
8917,0,76,158973,0
8126,0,303,281446,0
9132,0,4,159017,0
9141,0,253,282566,0
8126,0,308,281132,0
8542,0,271,282565,0
8126,0,274,281762,0
9150,0,9,159080,0
9136,0,273,283639,0
9146,0,228,283638,0
8716,0,240,281212,0
8126,0,293,281619,0
8730,0,247,281406,0
8126,0,208,281405,0
8542,0,230,283041,0
8901,0,264,282978,0
9145,0,-6,159233,0
8079,0,288,280466,0
8126,0,262,281434,0
7710,0,321,280539,0
8905,0,77,159265,0
8542,0,333,282564,0
8126,0,331,281272,0
8126,0,221,281271,0
9147,0,-6,159375,0
8542,0,290,282939,0
7710,0,315,280473,0
8958,0,311,284078,0
9148,0,278,281404,0
8126,0,310,281236,0
8126,0,272,281727,0
8126,0,207,281403,0
8542,0,323,282713,0
7710,0,302,280672,0
8958,0,292,284540,0
8126,0,290,281618,0
8542,0,333,282904,0
9149,0,8,159903,0
9128,0,10,159904,0
7294,0,23,159905,0
7294,0,16,159906,0
8542,0,305,282903,0
7294,0,59,159908,0
9145,0,8,159909,0
7463,0,14,159910,0
7294,0,63,159911,0
7294,0,50,159912,0
9144,0,54,159913,0
8958,0,358,284250,0
9142,0,261,284249,0
7294,0,46,159916,0
9149,0,292,284248,0
8958,0,334,284247,0
7294,0,50,159919,0
7294,0,47,159920,0
8126,0,313,281686,0
8958,0,301,284246,0
8542,0,291,282902,0
8958,0,282,284245,0
7483,0,41,159925,0
8542,0,309,282901,0
8958,0,291,284244,0
9147,0,250,284243,0
7294,0,50,159929,0
9135,0,270,284242,0
7468,0,39,159931,0
8711,0,264,281685,0
8958,0,346,284241,0
9128,0,303,281684,0
7294,0,93,159935,0
7482,0,92,159936,0
8126,0,309,281683,0
9147,0,17,159938,0
7294,0,96,159939,0
8958,0,331,284240,0
7464,0,92,159941,0
7294,0,94,159942,0
7477,0,92,159943,0
8126,0,303,281682,0
8126,0,340,281681,0
7294,0,97,159946,0
8958,0,336,284239,0
7294,0,99,159948,0
8958,0,301,284238,0
7294,0,93,159950,0
7653,0,86,159951,0
7457,0,89,159952,0
9127,0,26,159953,0
7710,0,313,280663,0
9148,0,-1,159955,0
7294,0,79,159956,0
9146,0,282,284237,0
8126,0,327,281680,0
7294,0,79,159959,0
8126,0,291,281679,0
8958,0,313,284236,0
8958,0,351,284235,0
8126,0,309,281678,0
7294,0,77,159964,0
8958,0,328,284234,0
7649,0,72,159966,0
8958,0,263,284233,0
7294,0,73,159968,0
8506,0,295,281677,0
8958,0,310,284232,0
8542,0,270,282900,0
8542,0,282,282899,0
7294,0,40,159973,0
7294,0,37,159974,0
8126,0,309,281676,0
8126,0,296,281675,0
9148,0,296,284231,0
8542,0,329,282898,0
9135,0,55,159979,0
9149,0,275,284230,0
