offset6x,offset5y,offset10x,offset2x,defenders,offset2y,offset6y,offset7x,offset3x,offset8x,offset10y,offset3y,offset4x,offset7y,offset0x,offset8y,attackers,offset9x,midfielders,offset5x,offset0y,offset1x,offset4y,offset9y,offset1y,formationname,playerinstruction10_1,playerinstruction3_1,playerinstruction1_1,position10,playerinstruction9_2,playerinstruction9_1,playerinstruction4_2,position6,playerinstruction1_2,playerinstruction5_2,offensiverating,position8,playerinstruction7_1,playerinstruction0_2,playerinstruction8_1,playerinstruction5_1,position5,formationaudioid,playerinstruction6_1,playerinstruction6_2,playerinstruction10_2,playerinstruction3_2,teamid,position2,playerinstruction4_1,formationid,playerinstruction8_2,playerinstruction0_1,relativeformationid,position4,playerinstruction2_2,position3,formationfullnameid,playerinstruction7_2,position0,position9,position7,position1,playerinstruction2_1
1051931443.0,1057174323.0,1036831949.0,1059481190.0,1082130432.0,1041865114.0,1057174323.0,1056964608.0,1051931443.0,1063675494.0,1062836634.0,1041865114.0,1029785518.0,1059648963.0,1056964608.0,1062836634.0,1077936128.0,1056947831.0,1077936128.0,1059481190.0,1014350479.0,1064430469.0,1046898278.0,1063256064.0,1046898278.0,4-3-3,2394112,16,8,27,8,294920,8,15,8,8,3,23,134252544,0,2394112,134220032,13,6,134220032,8,8,8,-1,4,8,11,8,0,11,7,8,6,4,8,0,25,18,3,16
1059481190.0,1052350874.0,1036831949.0,1059481190.0,1082130432.0,1041865114.0,1057174323.0,1051931443.0,1051931443.0,1056964608.0,1063046349.0,1041865114.0,1029785518.0,1057174323.0,1056964608.0,1061578342.0,1077936128.0,1063675494.0,1077936128.0,1056964608.0,1014350479.0,1064430469.0,1046898278.0,1063046349.0,1046898278.0,4-3-3,2394112,16,8,27,8,2394112,8,13,8,8,3,21,134220032,0,294920,320,10,7,134220032,8,8,8,-1,4,8,12,8,0,12,7,8,6,6,8,0,23,15,3,16
1051931443.0,1051512013.0,1053273620.0,1059481190.0,1084227584.0,1041865114.0,1051512013.0,1062333317.0,1051931443.0,1043878380.0,1063256064.0,1041865114.0,1029785518.0,1059816735.0,1056964608.0,1059816735.0,1073741824.0,1058642330.0,1077936128.0,1059481190.0,1014350479.0,1064430469.0,1046898278.0,1063256064.0,1046898278.0,4-2-2-2,294920,16,8,26,8,294920,8,11,8,8,2,19,134252544,0,134252544,320,9,10,320,8,8,8,-1,4,8,13,8,0,13,7,8,6,-1,8,0,24,17,3,16
1064346583.0,1051931443.0,1053273620.0,1059481190.0,1082130432.0,1041865114.0,1057942720.0,1032469873.0,1051931443.0,1056964608.0,1063256064.0,1041865114.0,1029785518.0,1057915876.0,1056964608.0,1059816735.0,1075838976.0,1058642330.0,1080033280.0,1056964608.0,1014350479.0,1064430469.0,1046898278.0,1063256064.0,1046898278.0,4-1-2-1-2,294920,16,8,26,8,294920,8,12,8,8,2,18,2394112,0,134252544,320,10,11,2394112,8,8,8,-1,4,8,14,8,0,14,7,8,6,10,8,0,24,16,3,16
1059481190.0,1051931443.0,1053273620.0,1059481190.0,1082130432.0,1041865114.0,1057174323.0,1051931443.0,1051931443.0,1056964608.0,1063256064.0,1041865114.0,1029785518.0,1057174323.0,1056964608.0,1059816735.0,1075838976.0,1058642330.0,1080033280.0,1056964608.0,1014350479.0,1064430469.0,1046898278.0,1063256064.0,1046898278.0,4-1-2-1-2,294920,16,8,26,8,294920,8,13,8,8,2,18,134220032,0,134252544,320,10,11,134220032,8,8,8,-1,4,8,15,8,0,15,7,8,6,9,8,0,24,15,3,16
1059481190.0,1059284897.0,1053273620.0,1059481190.0,1082130432.0,1041865114.0,1057174323.0,1051931443.0,1051931443.0,1036831949.0,1063256064.0,1041865114.0,1029785518.0,1057174323.0,1056964608.0,1059284897.0,1073741824.0,1058642330.0,1082130432.0,1063675494.0,1014350479.0,1064430469.0,1046898278.0,1063256064.0,1046898278.0,4-4-2,294920,16,8,26,8,294920,8,13,8,8,2,16,134220032,0,2394112,2394112,12,10,134220032,8,8,8,-1,4,8,16,8,0,16,7,8,6,11,8,0,24,15,3,16
1051931443.0,1051512013.0,1053273620.0,1059481190.0,1082130432.0,1041865114.0,1051512013.0,1063675494.0,1051931443.0,1036831949.0,1063256064.0,1041865114.0,1029785518.0,1058642330.0,1056964608.0,1058642330.0,1073741824.0,1058642330.0,1082130432.0,1059481190.0,1014350479.0,1064430469.0,1046898278.0,1063256064.0,1046898278.0,4-4-2,294920,16,8,26,8,294920,8,11,8,8,2,16,2394112,0,2394112,320,9,10,320,8,8,8,-1,4,8,17,8,0,17,7,8,6,12,8,0,24,12,3,16
1059481190.0,1059284897.0,1056947831.0,1059481190.0,1082130432.0,1041865114.0,1057174323.0,1051931443.0,1051931443.0,1036831949.0,1063256064.0,1041865114.0,1029785518.0,1057174323.0,1056964608.0,1059286575.0,1069547520.0,1056964608.0,1083179008.0,1063675494.0,1014350479.0,1064430469.0,1046898278.0,1059648963.0,1046898278.0,4-4-1-1,294920,16,8,25,8,134252544,8,13,8,8,2,16,134220032,0,2394112,2394112,12,14,134220032,8,8,8,-1,4,8,18,8,0,18,7,8,6,18,8,0,18,15,3,16
1059481190.0,1059286575.0,1056947831.0,1059481190.0,1082130432.0,1041865114.0,1057174323.0,1051931443.0,1051931443.0,1036831949.0,1063256064.0,1041865114.0,1029785518.0,1057174323.0,1056964608.0,1059284897.0,1069547520.0,1056964608.0,1083179008.0,1063675494.0,1014350479.0,1064430469.0,1046898278.0,1060739482.0,1046898278.0,4-4-1-1,294920,16,8,25,8,294920,8,13,8,8,2,16,134220032,0,2394112,2394112,12,13,134220032,8,8,8,-1,4,8,19,8,0,19,7,8,6,8,8,0,21,15,3,16
1059481190.0,1059481190.0,1056947831.0,1059481190.0,1082130432.0,1041865114.0,1057174323.0,1057006551.0,1051931443.0,1051931443.0,1063256064.0,1041865114.0,1029785518.0,1056125747.0,1056964608.0,1057174323.0,1065353216.0,1036831949.0,1084227584.0,1063675494.0,1014350479.0,1064430469.0,1046898278.0,1059481190.0,1046898278.0,4-5-1,294920,16,8,25,8,2394112,8,13,8,8,2,15,134220032,0,134220032,2394112,12,15,134220032,8,8,8,-1,4,8,20,8,0,20,7,8,6,19,8,0,16,14,3,16
1056964608.0,1057384038.0,1056947831.0,1059481190.0,1082130432.0,1041865114.0,1056125747.0,1036831949.0,1051931443.0,1061158912.0,1063256064.0,1041865114.0,1029785518.0,1057384038.0,1056964608.0,1059816735.0,1065353216.0,1048576000.0,1084227584.0,1063675494.0,1014350479.0,1064430469.0,1046898278.0,1059816735.0,1046898278.0,4-5-1,294920,16,8,25,8,134252544,8,14,8,8,2,17,2394112,0,134252544,2394112,12,14,134220032,8,8,8,-1,4,8,21,8,0,21,7,8,6,15,8,0,19,16,3,16
1059481190.0,1059284897.0,1053273620.0,1056964608.0,1080033280.0,1043542835.0,1057174323.0,1051931443.0,1049834291.0,1036831949.0,1063256064.0,1040187392.0,1056964608.0,1057174323.0,1056964608.0,1059284897.0,1073741824.0,1058642330.0,1083179008.0,1063675494.0,1014350479.0,1060529766.0,1052770304.0,1063256064.0,1040187392.0,3-1-4-2,294920,16,16,26,8,294920,8,13,8,8,3,16,134220032,0,2394112,2394112,12,1,134220032,8,8,8,-1,5,320,22,8,0,22,10,8,6,-1,8,0,24,15,4,16
1051931443.0,1057174323.0,1053273620.0,1056964608.0,1077936128.0,1043542835.0,1057174323.0,1036831949.0,1049834291.0,1056964608.0,1063256064.0,1040187392.0,1063675494.0,1059284897.0,1056964608.0,1060152279.0,1075838976.0,1058642330.0,1083179008.0,1059481190.0,1014350479.0,1060529766.0,1059286575.0,1063256064.0,1040187392.0,3-4-1-2,294920,16,16,26,8,294920,8,15,8,8,4,18,2394112,0,134252544,134220032,13,1,134220032,8,8,8,-1,5,2394112,23,8,0,23,12,8,6,-1,8,0,24,16,4,16
1051931443.0,1057174323.0,1056947831.0,1056964608.0,1077936128.0,1043542835.0,1057174323.0,1036831949.0,1049834291.0,1061158912.0,1063256064.0,1040187392.0,1063675494.0,1059286575.0,1056964608.0,1061578342.0,1073741824.0,1048576000.0,1084227584.0,1059481190.0,1014350479.0,1060529766.0,1059286575.0,1061578342.0,1040187392.0,3-4-2-1,294920,16,16,25,8,294920,8,15,8,8,3,20,2394112,0,294920,134220032,13,0,134220032,8,8,8,-1,5,2394112,24,8,0,24,12,8,6,21,8,0,22,16,4,16
1051931443.0,1057174323.0,1036831949.0,1056964608.0,1077936128.0,1043542835.0,1057174323.0,1028443341.0,1049834291.0,1063675494.0,1062836634.0,1040187392.0,1064514355.0,1059174167.0,1056964608.0,1062836634.0,1077936128.0,1056947831.0,1082130432.0,1059481190.0,1014350479.0,1060529766.0,1059174167.0,1063256064.0,1040187392.0,3-4-3,2394112,16,16,27,8,294920,8,15,8,8,4,23,2394112,0,2394112,134220032,13,0,134220032,8,8,8,-1,5,2394112,25,8,0,25,12,8,6,2,8,0,25,16,4,16
1036831949.0,1057803469.0,1036831949.0,1056964608.0,1077936128.0,1043542835.0,1057803469.0,1056964608.0,1049834291.0,1063675494.0,1062836634.0,1040187392.0,1056964608.0,1059481190.0,1056964608.0,1062836634.0,1077936128.0,1056947831.0,1082130432.0,1063675494.0,1014350479.0,1060529766.0,1052770304.0,1063256064.0,1040187392.0,3-4-3,2394112,16,16,27,8,294920,8,16,8,8,4,23,134252544,0,2394112,2394112,12,0,2394112,8,8,8,-1,5,320,26,8,0,26,10,8,6,1,8,0,25,18,4,16
1064011039.0,1051512013.0,1053273620.0,1056964608.0,1077936128.0,1043542835.0,1057384038.0,1034147594.0,1049834291.0,1056964608.0,1063256064.0,1040187392.0,1059481190.0,1057384038.0,1056964608.0,1058977874.0,1073741824.0,1058642330.0,1084227584.0,1051931443.0,1014350479.0,1060529766.0,1051512013.0,1063256064.0,1040187392.0,3-5-2,294920,16,16,26,8,294920,8,12,8,8,3,18,2394112,0,134252544,320,11,1,2394112,8,8,8,-1,5,320,27,8,0,27,9,8,6,22,8,0,24,16,4,16
1064220754.0,1051512013.0,1056947831.0,1056964608.0,1082130432.0,1043542835.0,1059048338.0,1056964608.0,1049834291.0,1032134328.0,1063256064.0,1040187392.0,1059481190.0,1057286731.0,1056964608.0,1059048338.0,1073741824.0,1057006551.0,1082130432.0,1051931443.0,1014350479.0,1060529766.0,1051512013.0,1061075026.0,1040187392.0,3-5-1-1,294920,16,16,25,8,294920,8,12,8,8,3,16,134220032,0,2394112,320,11,1,2394112,8,8,8,-1,5,320,28,8,0,28,9,8,6,23,8,0,21,14,4,16
1059481190.0,1049582633.0,1053273620.0,1060529766.0,1086324736.0,1040187392.0,1057174323.0,1051931443.0,1056964608.0,1056964608.0,1063256064.0,1043542835.0,1049834291.0,1057174323.0,1056964608.0,1059648963.0,1073741824.0,1058642330.0,1073741824.0,1036831949.0,1014350479.0,1063675494.0,1040187392.0,1063256064.0,1049582633.0,5-2-1-2,294920,16,8,26,8,294920,8,13,8,8,1,18,134220032,0,134252544,8,8,4,134220032,8,8,8,-1,4,16,29,8,0,29,6,8,5,-1,8,0,24,15,2,16
1059481190.0,1049582633.0,1036831949.0,1060529766.0,1086324736.0,1040187392.0,1057174323.0,1051931443.0,1056964608.0,1063675494.0,1062333317.0,1043542835.0,1049834291.0,1057174323.0,1056964608.0,1062333317.0,1065353216.0,1056947831.0,1077936128.0,1036831949.0,1014350479.0,1063675494.0,1040187392.0,1063256064.0,1049582633.0,5-2-2-1,2394112,16,8,27,8,294920,8,13,8,8,1,23,134220032,0,2394112,8,8,3,134220032,8,8,8,-1,4,16,30,8,0,30,6,8,5,-1,8,0,25,15,2,16
1059481190.0,1049582633.0,1053273620.0,1060529766.0,1084227584.0,1040187392.0,1057174323.0,1056964608.0,1056964608.0,1051931443.0,1063256064.0,1043542835.0,1049834291.0,1056125747.0,1056964608.0,1057174323.0,1073741824.0,1058642330.0,1077936128.0,1036831949.0,1014350479.0,1063675494.0,1040187392.0,1063256064.0,1049582633.0,5-3-2,294920,16,8,26,8,294920,8,13,8,8,1,15,134220032,0,134220032,8,8,4,134220032,8,8,8,-1,4,16,31,8,0,31,6,8,5,-1,8,0,24,14,2,16
1056964608.0,1049582633.0,1056947831.0,1060529766.0,1084227584.0,1040187392.0,1052770304.0,1063675494.0,1056964608.0,1036831949.0,1063256064.0,1043542835.0,1049834291.0,1058642330.0,1056964608.0,1058642330.0,1065353216.0,1056964608.0,1082130432.0,1036831949.0,1014350479.0,1063675494.0,1040187392.0,1059648963.0,1049582633.0,5-4-1,294920,16,8,25,8,134252544,8,10,8,8,0,16,2394112,0,2394112,8,8,5,320,8,8,8,-1,4,16,32,8,0,32,6,8,5,13,8,0,18,12,2,16
1063675494.0,1049582633.0,1056947831.0,1060529766.0,1084227584.0,1040187392.0,1059286575.0,1059481190.0,1056964608.0,1051931443.0,1063256064.0,1043542835.0,1049834291.0,1057174323.0,1056964608.0,1057174323.0,1065353216.0,1036831949.0,1082130432.0,1036831949.0,1014350479.0,1063675494.0,1040187392.0,1059286575.0,1049582633.0,5-4-1,294920,16,8,25,8,2394112,8,12,8,8,0,15,134220032,0,134220032,8,8,5,2394112,8,8,8,-1,4,16,33,8,0,33,6,8,5,14,8,0,16,13,2,16
1059481190.0,1049414861.0,1033476506.0,1059900621.0,1086324736.0,1041865114.0,1057174323.0,1051931443.0,1056964608.0,1064094925.0,1062417203.0,1041865114.0,1051092582.0,1057174323.0,1056964608.0,1062417203.0,1065353216.0,1056947831.0,1077936128.0,1033476506.0,1016028201.0,1064094925.0,1041865114.0,1063256064.0,1049414861.0,5-2-2-1,2263040,16,4,27,8,268730368,8,13,8,8,1,23,134219792,0,2263040,4,8,3,134220288,8,8,8,1,4,16,34,8,0,30,6,8,5,-1,8,0,25,15,2,16
1059481190.0,1051512013.0,1033476506.0,1059900621.0,1082130432.0,1041865114.0,1057174323.0,1051931443.0,1051092582.0,1064094925.0,1062417203.0,1041865114.0,1033476506.0,1057174323.0,1056964608.0,1062417203.0,1077936128.0,1056947831.0,1077936128.0,1056964608.0,1016028201.0,1064094925.0,1045220557.0,1063256064.0,1045220557.0,4-3-3,2394112,16,8,27,8,42991616,8,13,8,8,3,23,134220032,0,2394112,80,10,6,134220032,8,8,8,2,4,8,35,8,0,9,7,8,6,7,8,0,25,15,3,16
1059481190.0,1058432614.0,1056947831.0,1059900621.0,1082130432.0,1041865114.0,1057174323.0,1051931443.0,1051092582.0,1033476506.0,1063256064.0,1041865114.0,1033476506.0,1057174323.0,1056964608.0,1058432614.0,1069547520.0,1056964608.0,1083179008.0,1064094925.0,1016028201.0,1064094925.0,1045220557.0,1059690906.0,1045220557.0,4-4-1-1,294920,16,8,25,8,134252544,8,13,8,8,2,16,134219792,0,136873984,136611840,12,14,134219792,8,8,8,3,4,8,36,8,0,18,7,4,6,18,8,0,18,15,3,16
1059481190.0,1049414861.0,1053273620.0,1059900621.0,1084227584.0,1041865114.0,1057174323.0,1056964608.0,1056964608.0,1051931443.0,1063256064.0,1041865114.0,1051092582.0,1057174323.0,1056964608.0,1057174323.0,1073741824.0,1058642330.0,1077936128.0,1033476506.0,1016028201.0,1064094925.0,1041865114.0,1063256064.0,1049414861.0,5-3-2,100696064,16,4,26,8,1343488,8,13,8,8,1,15,134220032,0,134220032,8,8,4,134220032,8,8,8,4,4,16,37,8,0,31,6,8,5,-1,8,0,24,14,2,16
1059481190.0,1049414861.0,1033476506.0,1060511311.0,1086324736.0,1041865114.0,1057174323.0,1051931443.0,1056863945.0,1064094925.0,1062417203.0,1043005964.0,1049871201.0,1057174323.0,1056964608.0,1062417203.0,1065353216.0,1056947831.0,1077936128.0,1033476506.0,1016028201.0,1064094925.0,1042153682.0,1063256064.0,1049414861.0,5-2-2-1,2263040,16,4,27,8,33587208,8,13,8,8,1,23,134220032,0,2263040,4,8,3,134220032,8,8,8,5,4,16,38,8,0,30,6,8,5,-1,8,0,25,15,2,16
1059481190.0,1049414861.0,1053273620.0,1060529766.0,1086324736.0,1041751029.0,1057174323.0,1051931443.0,1056964608.0,1056964608.0,1063256064.0,1041865114.0,1049834291.0,1057174323.0,1056964608.0,1059690906.0,1073741824.0,1058642330.0,1073741824.0,1033476506.0,1016028201.0,1064094925.0,1042086573.0,1063256064.0,1049414861.0,5-2-1-2,294920,16,4,26,8,268730368,8,13,8,8,1,18,134220032,0,43008,4,8,4,134220032,8,8,8,7,4,16,39,8,0,29,6,8,5,-1,8,0,24,15,2,16
1051931443.0,1051512013.0,1056947831.0,1059900621.0,1084227584.0,1041865114.0,1051512013.0,1064052982.0,1051092582.0,1036831949.0,1063256064.0,1041865114.0,1033476506.0,1058558444.0,1056964608.0,1058657429.0,1065353216.0,1056964608.0,1082130432.0,1059481190.0,1016028201.0,1064178811.0,1046898278.0,1059690906.0,1046448649.0,4-2-3-1,67403776,16,4,25,8,134252544,8,11,8,8,2,16,136595456,0,136480768,80,9,14,320,8,8,8,8,4,4,40,8,0,4,7,8,6,3,8,0,18,12,3,16
1059481190.0,1051512013.0,1033476506.0,1059900621.0,1082130432.0,1041865114.0,1057174323.0,1051931443.0,1051092582.0,1064094925.0,1062417203.0,1041865114.0,1033476506.0,1057174323.0,1056964608.0,1062417203.0,1077936128.0,1056947831.0,1077936128.0,1056964608.0,1016028201.0,1064094925.0,1045220557.0,1063256064.0,1045220557.0,4-3-3,1345536,16,4,27,8,8650760,8,13,8,8,3,23,10496,0,1345536,320,10,6,134220032,8,8,8,9,4,4,41,8,0,9,7,8,6,7,8,0,25,15,3,16
1059648963.0,1049414861.0,1053273620.0,1059900621.0,1084227584.0,1041865114.0,1057803469.0,1056964608.0,1056964608.0,1051595899.0,1063256064.0,1041865114.0,1051092582.0,1057174323.0,1056964608.0,1057803469.0,1073741824.0,1058642330.0,1077936128.0,1033476506.0,1016028201.0,1064094925.0,1041865114.0,1063256064.0,1049414861.0,5-3-2,294920,16,4,26,8,294920,8,13,8,8,1,15,134219792,0,10752,4,8,4,10752,8,8,8,10,4,16,42,8,0,31,6,8,5,-1,8,0,24,14,2,16
1051931443.0,1051512013.0,1056947831.0,1059900621.0,1084227584.0,1041865114.0,1051512013.0,1064094925.0,1051092582.0,1033476506.0,1063256064.0,1041865114.0,1033476506.0,1058432614.0,1056964608.0,1058432614.0,1065353216.0,1056964608.0,1082130432.0,1059481190.0,1016028201.0,1064094925.0,1045220557.0,1059690906.0,1045220557.0,4-2-3-1,67403776,16,4,25,8,43008,8,11,8,8,2,16,138708992,0,135563264,320,9,14,320,8,8,8,11,4,8,43,8,0,4,7,8,6,3,8,0,18,12,3,16
1059481190.0,1051512013.0,1053273620.0,1059900621.0,1082130432.0,1041865114.0,1057174323.0,1051931443.0,1051092582.0,1056964608.0,1063256064.0,1041865114.0,1033476506.0,1057174323.0,1056964608.0,1059690906.0,1075838976.0,1058642330.0,1080033280.0,1056964608.0,1016028201.0,1064094925.0,1045220557.0,1063256064.0,1045220557.0,4-1-2-1-2,1343488,16,4,26,8,67403776,8,13,8,8,2,18,134220032,0,134252544,80,10,11,134220032,8,8,8,12,4,4,44,8,0,15,7,8,6,9,8,0,24,15,3,16
1059648963.0,1058432614.0,1056629064.0,1059900621.0,1082130432.0,1041865114.0,1056996485.0,1051595899.0,1050991919.0,1033476506.0,1063541277.0,1042006042.0,1033476506.0,1057031717.0,1056964608.0,1058432614.0,1069547520.0,1057014940.0,1083179008.0,1064094925.0,1016028201.0,1064094925.0,1045220557.0,1060739482.0,1045220557.0,4-4-1-1,294920,16,8,25,8,294920,8,13,8,8,2,16,134219792,0,136480768,136611840,12,13,134220032,8,8,8,13,4,8,45,8,0,19,7,8,6,8,8,0,21,15,3,16
1051931443.0,1051512013.0,1056947831.0,1059900621.0,1084227584.0,1041865114.0,1051512013.0,1064094925.0,1051092582.0,1033476506.0,1063256064.0,1041865114.0,1033476506.0,1058432614.0,1056964608.0,1058432614.0,1065353216.0,1056863945.0,1082130432.0,1059481190.0,1016028201.0,1064094925.0,1045220557.0,1059940886.0,1045220557.0,4-2-3-1,100696064,16,4,25,8,43008,8,11,8,8,2,16,136611840,0,136611840,320,9,14,80,8,4,8,14,4,4,46,8,0,4,7,8,6,3,8,0,18,12,3,16
1059481190.0,1049414861.0,1053273620.0,1059900621.0,1084227584.0,1041865114.0,1057174323.0,1057014940.0,1056964608.0,1051595899.0,1063256064.0,1041865114.0,1051092582.0,1057803469.0,1056964608.0,1056125747.0,1073741824.0,1058810102.0,1077936128.0,1033476506.0,1016028201.0,1064094925.0,1041865114.0,1063220832.0,1051092582.0,5-3-2,294920,16,4,26,8,16809992,8,13,8,8,1,15,134220288,0,134219792,8,8,4,134220032,8,8,8,15,4,16,47,8,0,31,6,8,5,-1,8,0,24,14,2,16
1051931443.0,1051512013.0,1056947831.0,1059900621.0,1084227584.0,1041865114.0,1051512013.0,1064094925.0,1051092582.0,1033476506.0,1063256064.0,1041865114.0,1033476506.0,1058432614.0,1056964608.0,1058432614.0,1065353216.0,1057117281.0,1082130432.0,1059481190.0,1016028201.0,1064094925.0,1045220557.0,1059655673.0,1045220557.0,4-2-3-1,1343488,16,8,25,8,75776,8,11,8,8,2,16,136611840,0,135563264,320,9,14,80,8,8,8,17,4,8,48,8,0,4,7,8,6,3,8,0,18,12,3,16
